Unnamed: 0,timestamp,rt_payment_get_user_count,rt_payment_get_user_sum,rt_payment_post_user_count,rt_payment_post_user_sum
0,2023-03-29 04:00:04.727000+00:00,31.0,,0.0,
1,2023-03-29 04:00:09.727000+00:00,31.0,0.0,0.0,0.0
2,2023-03-29 04:00:14.727000+00:00,33.0,170.0,0.0,0.0
3,2023-03-29 04:00:19.727000+00:00,34.0,13.0,0.0,0.0
4,2023-03-29 04:00:24.727000+00:00,35.0,61.0,0.0,0.0
5,2023-03-29 04:00:29.727000+00:00,37.0,21.0,0.0,0.0
6,2023-03-29 04:00:34.727000+00:00,40.0,137.0,0.0,0.0
7,2023-03-29 04:00:39.727000+00:00,43.0,233.0,0.0,0.0
8,2023-03-29 04:00:44.727000+00:00,44.0,112.0,0.0,0.0
9,2023-03-29 04:00:49.727000+00:00,46.0,21.0,0.0,0.0
10,2023-03-29 04:00:54.727000+00:00,47.0,10.0,0.0,0.0
11,2023-03-29 04:00:59.727000+00:00,49.0,121.0,0.0,0.0
12,2023-03-29 04:01:04.727000+00:00,49.0,0.0,0.0,0.0
13,2023-03-29 04:01:09.727000+00:00,49.0,0.0,0.0,0.0
14,2023-03-29 04:01:14.727000+00:00,51.0,172.0,0.0,0.0
15,2023-03-29 04:01:19.727000+00:00,51.0,0.0,0.0,0.0
16,2023-03-29 04:01:24.727000+00:00,53.0,23.0,0.0,0.0
17,2023-03-29 04:01:29.727000+00:00,57.0,191.0,0.0,0.0
18,2023-03-29 04:01:34.727000+00:00,57.0,0.0,0.0,0.0
19,2023-03-29 04:01:39.727000+00:00,59.0,22.0,0.0,0.0
20,2023-03-29 04:01:44.727000+00:00,62.0,231.0,0.0,0.0
21,2023-03-29 04:01:49.727000+00:00,63.0,60.0,0.0,0.0
22,2023-03-29 04:01:54.727000+00:00,67.0,239.0,0.0,0.0
23,2023-03-29 04:01:59.727000+00:00,69.0,21.0,0.0,0.0
24,2023-03-29 04:02:04.727000+00:00,71.0,70.0,0.0,0.0
25,2023-03-29 04:02:09.727000+00:00,72.0,60.0,0.0,0.0
26,2023-03-29 04:02:14.727000+00:00,73.0,10.0,0.0,0.0
27,2023-03-29 04:02:19.727000+00:00,74.0,9.0,0.0,0.0
