Unnamed: 0,timestamp,rt_web_post_payment_count,rt_web_post_payment_sum
0,2023-03-29 04:00:04.727000+00:00,31.0,
1,2023-03-29 04:00:09.727000+00:00,31.0,0.0
2,2023-03-29 04:00:14.727000+00:00,33.0,602.0
3,2023-03-29 04:00:19.727000+00:00,34.0,229.0
4,2023-03-29 04:00:24.727000+00:00,35.0,277.0
5,2023-03-29 04:00:29.727000+00:00,37.0,450.0
6,2023-03-29 04:00:34.727000+00:00,40.0,782.0
7,2023-03-29 04:00:39.727000+00:00,43.0,875.0
8,2023-03-29 04:00:44.727000+00:00,44.0,329.0
9,2023-03-29 04:00:49.727000+00:00,46.0,451.0
10,2023-03-29 04:00:54.727000+00:00,47.0,224.0
11,2023-03-29 04:00:59.727000+00:00,49.0,550.0
12,2023-03-29 04:01:04.727000+00:00,49.0,0.0
13,2023-03-29 04:01:09.727000+00:00,49.0,0.0
14,2023-03-29 04:01:14.727000+00:00,51.0,615.0
15,2023-03-29 04:01:19.727000+00:00,51.0,0.0
16,2023-03-29 04:01:24.727000+00:00,53.0,454.0
17,2023-03-29 04:01:29.727000+00:00,57.0,1052.0
18,2023-03-29 04:01:34.727000+00:00,57.0,0.0
19,2023-03-29 04:01:39.727000+00:00,59.0,449.0
20,2023-03-29 04:01:44.727000+00:00,62.0,876.0
21,2023-03-29 04:01:49.727000+00:00,63.0,274.0
22,2023-03-29 04:01:54.727000+00:00,67.0,1093.0
23,2023-03-29 04:01:59.727000+00:00,69.0,444.0
24,2023-03-29 04:02:04.727000+00:00,71.0,498.0
25,2023-03-29 04:02:09.727000+00:00,72.0,271.0
26,2023-03-29 04:02:14.727000+00:00,73.0,224.0
27,2023-03-29 04:02:19.727000+00:00,74.0,220.0
28,2023-03-29 04:02:24.727000+00:00,76.0,445.0
29,2023-03-29 04:02:29.727000+00:00,79.0,774.0
30,2023-03-29 04:02:34.727000+00:00,81.0,496.0
31,2023-03-29 04:02:39.727000+00:00,85.0,1100.0
32,2023-03-29 04:02:44.727000+00:00,87.0,554.0
33,2023-03-29 04:02:49.727000+00:00,88.0,223.0
34,2023-03-29 04:02:54.727000+00:00,91.0,774.0
35,2023-03-29 04:02:59.727000+00:00,92.0,226.0
36,2023-03-29 04:03:04.727000+00:00,92.0,0.0
37,2023-03-29 04:03:09.727000+00:00,92.0,0.0
38,2023-03-29 04:03:14.727000+00:00,93.0,225.0
39,2023-03-29 04:03:19.727000+00:00,95.0,501.0
40,2023-03-29 04:03:24.727000+00:00,96.0,224.0
41,2023-03-29 04:03:29.727000+00:00,96.0,0.0
42,2023-03-29 04:03:34.727000+00:00,97.0,274.0
43,2023-03-29 04:03:39.727000+00:00,100.0,922.0
44,2023-03-29 04:03:44.727000+00:00,103.0,815.0
45,2023-03-29 04:03:49.727000+00:00,104.0,224.0
46,2023-03-29 04:03:54.727000+00:00,105.0,221.0
47,2023-03-29 04:03:59.727000+00:00,106.0,224.0
48,2023-03-29 04:04:04.727000+00:00,107.0,279.0
49,2023-03-29 04:04:09.727000+00:00,107.0,0.0
50,2023-03-29 04:04:14.727000+00:00,111.0,1149.0
51,2023-03-29 04:04:19.727000+00:00,112.0,274.0
52,2023-03-29 04:04:24.727000+00:00,116.0,890.0
53,2023-03-29 04:04:29.727000+00:00,119.0,666.0
54,2023-03-29 04:04:34.727000+00:00,123.0,944.0
55,2023-03-29 04:04:39.727000+00:00,126.0,872.0
56,2023-03-29 04:04:44.727000+00:00,126.0,0.0
57,2023-03-29 04:04:49.727000+00:00,127.0,222.0
58,2023-03-29 04:04:54.727000+00:00,127.0,0.0
59,2023-03-29 04:04:59.727000+00:00,129.0,443.0
60,2023-03-29 04:05:04.727000+00:00,129.0,0.0
61,2023-03-29 04:05:09.727000+00:00,129.0,0.0
62,2023-03-29 04:05:14.727000+00:00,131.0,604.0
63,2023-03-29 04:05:19.727000+00:00,132.0,234.0
64,2023-03-29 04:05:24.727000+00:00,134.0,498.0
65,2023-03-29 04:05:29.727000+00:00,136.0,495.0
66,2023-03-29 04:05:34.727000+00:00,136.0,0.0
67,2023-03-29 04:05:39.727000+00:00,136.0,0.0
68,2023-03-29 04:05:44.727000+00:00,137.0,326.0
69,2023-03-29 04:05:49.727000+00:00,138.0,273.0
70,2023-03-29 04:05:54.727000+00:00,139.0,223.0
71,2023-03-29 04:05:59.727000+00:00,140.0,223.0
72,2023-03-29 04:06:04.727000+00:00,141.0,278.0
73,2023-03-29 04:06:09.727000+00:00,141.0,0.0
74,2023-03-29 04:06:14.727000+00:00,143.0,451.0
75,2023-03-29 04:06:19.727000+00:00,146.0,723.0
76,2023-03-29 04:06:24.727000+00:00,151.0,1174.0
77,2023-03-29 04:06:29.727000+00:00,152.0,222.0
78,2023-03-29 04:06:34.727000+00:00,152.0,0.0
79,2023-03-29 04:06:39.727000+00:00,152.0,0.0
80,2023-03-29 04:06:44.727000+00:00,153.0,221.0
81,2023-03-29 04:06:49.727000+00:00,154.0,274.0
82,2023-03-29 04:06:54.727000+00:00,156.0,555.0
83,2023-03-29 04:06:59.727000+00:00,159.0,721.0
84,2023-03-29 04:07:04.727000+00:00,159.0,0.0
85,2023-03-29 04:07:09.727000+00:00,161.0,496.0
86,2023-03-29 04:07:14.727000+00:00,161.0,0.0
87,2023-03-29 04:07:19.727000+00:00,162.0,276.0
88,2023-03-29 04:07:24.727000+00:00,163.0,220.0
89,2023-03-29 04:07:29.727000+00:00,163.0,0.0
90,2023-03-29 04:07:34.727000+00:00,166.0,721.0
91,2023-03-29 04:07:39.727000+00:00,168.0,547.0
92,2023-03-29 04:07:44.727000+00:00,170.0,447.0
93,2023-03-29 04:07:49.727000+00:00,171.0,233.0
94,2023-03-29 04:07:54.727000+00:00,171.0,0.0
95,2023-03-29 04:07:59.727000+00:00,172.0,224.0
96,2023-03-29 04:08:04.727000+00:00,173.0,271.0
97,2023-03-29 04:08:09.727000+00:00,173.0,0.0
98,2023-03-29 04:08:14.727000+00:00,174.0,221.0
99,2023-03-29 04:08:19.727000+00:00,176.0,554.0
100,2023-03-29 04:08:24.727000+00:00,179.0,774.0
101,2023-03-29 04:08:29.727000+00:00,181.0,507.0
102,2023-03-29 04:08:34.727000+00:00,182.0,273.0
103,2023-03-29 04:08:39.727000+00:00,184.0,646.0
104,2023-03-29 04:08:44.727000+00:00,185.0,272.0
105,2023-03-29 04:08:49.727000+00:00,187.0,503.0
106,2023-03-29 04:08:54.727000+00:00,188.0,275.0
107,2023-03-29 04:08:59.727000+00:00,191.0,666.0
108,2023-03-29 04:09:04.727000+00:00,192.0,271.0
109,2023-03-29 04:09:09.727000+00:00,193.0,224.0
110,2023-03-29 04:09:14.727000+00:00,193.0,0.0
111,2023-03-29 04:09:19.727000+00:00,194.0,222.0
112,2023-03-29 04:09:24.727000+00:00,194.0,0.0
113,2023-03-29 04:09:29.727000+00:00,196.0,553.0
114,2023-03-29 04:09:34.727000+00:00,197.0,223.0
115,2023-03-29 04:09:39.727000+00:00,198.0,272.0
116,2023-03-29 04:09:44.727000+00:00,200.0,548.0
117,2023-03-29 04:09:49.727000+00:00,202.0,503.0
118,2023-03-29 04:09:54.727000+00:00,204.0,448.0
119,2023-03-29 04:09:59.727000+00:00,204.0,0.0
120,2023-03-29 04:10:04.727000+00:00,205.0,274.0
121,2023-03-29 04:10:09.727000+00:00,208.0,716.0
122,2023-03-29 04:10:14.727000+00:00,210.0,495.0
123,2023-03-29 04:10:19.727000+00:00,211.0,233.0
124,2023-03-29 04:10:24.727000+00:00,212.0,226.0
125,2023-03-29 04:10:29.727000+00:00,214.0,445.0
126,2023-03-29 04:10:34.727000+00:00,217.0,730.0
127,2023-03-29 04:10:39.727000+00:00,219.0,444.0
128,2023-03-29 04:10:44.727000+00:00,220.0,223.0
129,2023-03-29 04:10:49.727000+00:00,222.0,502.0
130,2023-03-29 04:10:54.727000+00:00,224.0,547.0
131,2023-03-29 04:10:59.727000+00:00,225.0,222.0
132,2023-03-29 04:11:04.727000+00:00,225.0,0.0
133,2023-03-29 04:11:09.727000+00:00,225.0,0.0
134,2023-03-29 04:11:14.727000+00:00,226.0,222.0
135,2023-03-29 04:11:19.727000+00:00,226.0,0.0
136,2023-03-29 04:11:24.727000+00:00,227.0,225.0
137,2023-03-29 04:11:29.727000+00:00,227.0,0.0
138,2023-03-29 04:11:34.727000+00:00,229.0,546.0
139,2023-03-29 04:11:39.727000+00:00,231.0,493.0
140,2023-03-29 04:11:44.727000+00:00,231.0,0.0
141,2023-03-29 04:11:49.727000+00:00,233.0,501.0
142,2023-03-29 04:11:54.727000+00:00,233.0,0.0
143,2023-03-29 04:11:59.727000+00:00,233.0,0.0
144,2023-03-29 04:12:04.727000+00:00,237.0,889.0
145,2023-03-29 04:12:09.727000+00:00,238.0,272.0
146,2023-03-29 04:12:14.727000+00:00,240.0,550.0
147,2023-03-29 04:12:19.727000+00:00,243.0,717.0
