Unnamed: 0,timestamp,rt_catalogue_get_mongo_categories_count,rt_catalogue_get_mongo_categories_sum,rt_catalogue_get_mongo_products_count,rt_catalogue_get_mongo_products_sum,rt_catalogue_get_mongo_productscat_count,rt_catalogue_get_mongo_productscat_sum,rt_catalogue_get_mongo_productsku_count,rt_catalogue_get_mongo_productsku_sum,rt_catalogue_get_mongo_search_count,rt_catalogue_get_mongo_search_sum,rt_user_get_mongo_checkid_count,rt_user_get_mongo_checkid_sum,rt_user_get_mongo_history_count,rt_user_get_mongo_history_sum,rt_user_get_mongo_users_count,rt_user_get_mongo_users_sum,rt_user_post_mongo_login_count,rt_user_post_mongo_login_sum,rt_user_post_mongo_order_count,rt_user_post_mongo_order_sum,rt_user_post_mongo_register_count,rt_user_post_mongo_register_sum
0,2023-03-29 04:00:02.678000+00:00,52.0,,52.0,,0.0,,227.0,,0.0,,29.0,,49.0,,0.0,,56.0,,0.0,,56.0,
1,2023-03-29 04:00:07.678000+00:00,53.0,0.0,53.0,2.0,0.0,0.0,232.0,0.0,0.0,0.0,31.0,1.0,53.0,4.0,0.0,0.0,57.0,1.0,0.0,0.0,57.0,1.0
2,2023-03-29 04:00:12.678000+00:00,56.0,1.0,56.0,1.0,0.0,0.0,246.0,0.0,0.0,0.0,32.0,1.0,55.0,2.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0
3,2023-03-29 04:00:17.678000+00:00,57.0,0.0,57.0,0.0,0.0,0.0,250.0,1.0,0.0,0.0,34.0,1.0,55.0,0.0,0.0,0.0,61.0,4.0,0.0,0.0,59.0,0.0
4,2023-03-29 04:00:22.678000+00:00,59.0,0.0,59.0,2.0,0.0,0.0,260.0,0.0,0.0,0.0,35.0,1.0,58.0,2.0,0.0,0.0,64.0,2.0,0.0,0.0,63.0,4.0
5,2023-03-29 04:00:27.678000+00:00,60.0,0.0,60.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,36.0,1.0,63.0,4.0,0.0,0.0,65.0,3.0,0.0,0.0,63.0,0.0
6,2023-03-29 04:00:32.678000+00:00,63.0,1.0,63.0,2.0,0.0,0.0,276.0,0.0,0.0,0.0,38.0,2.0,65.0,0.0,0.0,0.0,67.0,2.0,0.0,0.0,64.0,1.0
7,2023-03-29 04:00:37.678000+00:00,66.0,0.0,66.0,3.0,0.0,0.0,290.0,1.0,0.0,0.0,41.0,3.0,66.0,1.0,0.0,0.0,68.0,1.0,0.0,0.0,65.0,1.0
8,2023-03-29 04:00:42.678000+00:00,68.0,1.0,68.0,1.0,0.0,0.0,298.0,0.0,0.0,0.0,44.0,1.0,67.0,1.0,0.0,0.0,70.0,2.0,0.0,0.0,71.0,5.0
9,2023-03-29 04:00:47.678000+00:00,70.0,2.0,70.0,2.0,0.0,0.0,306.0,0.0,0.0,0.0,44.0,0.0,68.0,1.0,0.0,0.0,71.0,1.0,0.0,0.0,71.0,0.0
10,2023-03-29 04:00:52.678000+00:00,72.0,1.0,72.0,1.0,0.0,0.0,318.0,0.0,0.0,0.0,46.0,1.0,69.0,0.0,0.0,0.0,73.0,2.0,0.0,0.0,73.0,0.0
11,2023-03-29 04:00:57.678000+00:00,74.0,0.0,74.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,47.0,1.0,71.0,2.0,0.0,0.0,74.0,1.0,0.0,0.0,76.0,2.0
12,2023-03-29 04:01:02.678000+00:00,75.0,1.0,75.0,1.0,0.0,0.0,333.0,0.0,0.0,0.0,49.0,1.0,73.0,2.0,0.0,0.0,76.0,2.0,0.0,0.0,80.0,4.0
13,2023-03-29 04:01:07.678000+00:00,76.0,1.0,76.0,1.0,0.0,0.0,338.0,0.0,0.0,0.0,49.0,0.0,74.0,1.0,0.0,0.0,78.0,2.0,0.0,0.0,83.0,2.0
14,2023-03-29 04:01:12.678000+00:00,77.0,1.0,77.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,49.0,0.0,76.0,1.0,0.0,0.0,80.0,2.0,0.0,0.0,84.0,1.0
15,2023-03-29 04:01:17.678000+00:00,78.0,1.0,78.0,2.0,0.0,0.0,348.0,0.0,0.0,0.0,51.0,1.0,79.0,3.0,0.0,0.0,81.0,1.0,0.0,0.0,86.0,1.0
16,2023-03-29 04:01:22.678000+00:00,79.0,0.0,79.0,1.0,0.0,0.0,353.0,0.0,0.0,0.0,52.0,1.0,82.0,4.0,0.0,0.0,84.0,2.0,0.0,0.0,88.0,1.0
17,2023-03-29 04:01:27.678000+00:00,84.0,2.0,84.0,2.0,0.0,0.0,376.0,0.0,0.0,0.0,55.0,3.0,85.0,1.0,0.0,0.0,91.0,7.0,0.0,0.0,90.0,1.0
18,2023-03-29 04:01:32.678000+00:00,84.0,0.0,84.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,57.0,0.0,87.0,1.0,0.0,0.0,92.0,1.0,0.0,0.0,90.0,0.0
19,2023-03-29 04:01:37.678000+00:00,86.0,1.0,86.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,58.0,1.0,87.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,92.0,2.0
20,2023-03-29 04:01:42.678000+00:00,88.0,2.0,88.0,2.0,0.0,0.0,394.0,0.0,0.0,0.0,61.0,3.0,89.0,2.0,0.0,0.0,95.0,2.0,0.0,0.0,95.0,3.0
21,2023-03-29 04:01:47.678000+00:00,92.0,3.0,92.0,5.0,0.0,0.0,410.0,1.0,0.0,0.0,62.0,1.0,89.0,0.0,0.0,0.0,96.0,1.0,0.0,0.0,96.0,0.0
22,2023-03-29 04:01:52.678000+00:00,95.0,0.0,95.0,2.0,0.0,0.0,423.0,1.0,0.0,0.0,64.0,0.0,90.0,1.0,0.0,0.0,99.0,2.0,0.0,0.0,101.0,5.0
23,2023-03-29 04:01:57.678000+00:00,98.0,2.0,98.0,2.0,0.0,0.0,436.0,0.0,0.0,0.0,67.0,0.0,93.0,5.0,0.0,0.0,101.0,0.0,0.0,0.0,104.0,2.0
24,2023-03-29 04:02:02.678000+00:00,100.0,0.0,100.0,2.0,0.0,0.0,444.0,0.0,0.0,0.0,69.0,2.0,94.0,1.0,0.0,0.0,102.0,1.0,0.0,0.0,106.0,1.0
25,2023-03-29 04:02:07.678000+00:00,100.0,0.0,100.0,0.0,0.0,0.0,444.0,0.0,0.0,0.0,71.0,1.0,97.0,2.0,0.0,0.0,104.0,1.0,0.0,0.0,106.0,0.0
26,2023-03-29 04:02:12.678000+00:00,102.0,2.0,102.0,1.0,0.0,0.0,453.0,0.0,0.0,0.0,72.0,1.0,100.0,2.0,0.0,0.0,106.0,2.0,0.0,0.0,108.0,2.0
27,2023-03-29 04:02:17.678000+00:00,103.0,0.0,103.0,0.0,0.0,0.0,459.0,0.0,0.0,0.0,73.0,0.0,102.0,2.0,0.0,0.0,111.0,4.0,0.0,0.0,109.0,0.0
28,2023-03-29 04:02:22.678000+00:00,106.0,1.0,106.0,2.0,0.0,0.0,473.0,0.0,0.0,0.0,74.0,0.0,106.0,2.0,0.0,0.0,114.0,3.0,0.0,0.0,110.0,0.0
29,2023-03-29 04:02:27.678000+00:00,108.0,1.0,108.0,3.0,0.0,0.0,480.0,0.0,0.0,0.0,76.0,1.0,107.0,1.0,0.0,0.0,114.0,0.0,0.0,0.0,111.0,1.0
30,2023-03-29 04:02:32.678000+00:00,112.0,2.0,112.0,4.0,0.0,0.0,500.0,0.0,0.0,0.0,79.0,3.0,109.0,2.0,0.0,0.0,116.0,2.0,0.0,0.0,114.0,1.0
31,2023-03-29 04:02:37.678000+00:00,115.0,1.0,115.0,2.0,0.0,0.0,511.0,0.0,0.0,0.0,82.0,2.0,112.0,3.0,0.0,0.0,118.0,2.0,0.0,0.0,115.0,1.0
32,2023-03-29 04:02:42.678000+00:00,118.0,2.0,118.0,1.0,0.0,0.0,529.0,1.0,0.0,0.0,85.0,1.0,113.0,1.0,0.0,0.0,120.0,2.0,0.0,0.0,117.0,1.0
33,2023-03-29 04:02:47.678000+00:00,119.0,0.0,119.0,1.0,0.0,0.0,534.0,0.0,0.0,0.0,87.0,1.0,116.0,1.0,0.0,0.0,121.0,1.0,0.0,0.0,120.0,4.0
34,2023-03-29 04:02:52.678000+00:00,122.0,1.0,122.0,2.0,0.0,0.0,546.0,0.0,0.0,0.0,89.0,1.0,116.0,0.0,0.0,0.0,122.0,1.0,0.0,0.0,124.0,4.0
35,2023-03-29 04:02:57.678000+00:00,125.0,1.0,125.0,1.0,0.0,0.0,560.0,1.0,0.0,0.0,93.0,4.0,119.0,3.0,0.0,0.0,122.0,0.0,0.0,0.0,126.0,2.0
36,2023-03-29 04:03:02.678000+00:00,125.0,0.0,125.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,93.0,0.0,123.0,1.0,0.0,0.0,124.0,2.0,0.0,0.0,129.0,2.0
37,2023-03-29 04:03:07.678000+00:00,126.0,0.0,126.0,1.0,0.0,0.0,565.0,0.0,0.0,0.0,93.0,0.0,124.0,1.0,0.0,0.0,127.0,4.0,0.0,0.0,130.0,1.0
38,2023-03-29 04:03:12.678000+00:00,127.0,1.0,127.0,4.0,0.0,0.0,569.0,0.0,0.0,0.0,93.0,0.0,125.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,132.0,2.0
39,2023-03-29 04:03:17.678000+00:00,129.0,2.0,129.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,95.0,2.0,129.0,0.0,0.0,0.0,129.0,2.0,0.0,0.0,134.0,2.0
40,2023-03-29 04:03:22.678000+00:00,131.0,0.0,131.0,2.0,0.0,0.0,586.0,1.0,0.0,0.0,96.0,0.0,131.0,1.0,0.0,0.0,133.0,1.0,0.0,0.0,135.0,0.0
41,2023-03-29 04:03:27.678000+00:00,131.0,0.0,131.0,0.0,0.0,0.0,586.0,0.0,0.0,0.0,97.0,1.0,133.0,2.0,0.0,0.0,135.0,2.0,0.0,0.0,138.0,3.0
42,2023-03-29 04:03:32.678000+00:00,132.0,1.0,132.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,97.0,0.0,136.0,3.0,0.0,0.0,137.0,1.0,0.0,0.0,140.0,2.0
43,2023-03-29 04:03:37.678000+00:00,135.0,1.0,135.0,1.0,0.0,0.0,603.0,2.0,0.0,0.0,99.0,2.0,137.0,0.0,0.0,0.0,140.0,2.0,0.0,0.0,143.0,1.0
44,2023-03-29 04:03:42.678000+00:00,138.0,0.0,138.0,0.0,0.0,0.0,617.0,0.0,0.0,0.0,103.0,4.0,141.0,4.0,0.0,0.0,143.0,1.0,0.0,0.0,147.0,3.0
45,2023-03-29 04:03:47.678000+00:00,140.0,1.0,140.0,1.0,0.0,0.0,627.0,0.0,0.0,0.0,104.0,0.0,141.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,150.0,2.0
46,2023-03-29 04:03:52.678000+00:00,140.0,0.0,140.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,105.0,1.0,141.0,0.0,0.0,0.0,147.0,4.0,0.0,0.0,150.0,0.0
47,2023-03-29 04:03:57.678000+00:00,142.0,1.0,142.0,1.0,0.0,0.0,636.0,0.0,0.0,0.0,106.0,0.0,141.0,0.0,0.0,0.0,151.0,4.0,0.0,0.0,151.0,0.0
48,2023-03-29 04:04:02.678000+00:00,145.0,0.0,145.0,3.0,0.0,0.0,651.0,1.0,0.0,0.0,107.0,0.0,145.0,4.0,0.0,0.0,153.0,0.0,0.0,0.0,155.0,2.0
49,2023-03-29 04:04:07.678000+00:00,147.0,1.0,147.0,0.0,0.0,0.0,662.0,0.0,0.0,0.0,108.0,1.0,147.0,1.0,0.0,0.0,154.0,1.0,0.0,0.0,155.0,0.0
50,2023-03-29 04:04:12.678000+00:00,149.0,2.0,149.0,2.0,0.0,0.0,671.0,0.0,0.0,0.0,110.0,2.0,149.0,1.0,0.0,0.0,159.0,5.0,0.0,0.0,156.0,1.0
51,2023-03-29 04:04:17.678000+00:00,151.0,1.0,151.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0,112.0,2.0,152.0,1.0,0.0,0.0,161.0,1.0,0.0,0.0,159.0,2.0
52,2023-03-29 04:04:22.678000+00:00,154.0,2.0,154.0,1.0,0.0,0.0,694.0,1.0,0.0,0.0,114.0,1.0,152.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,160.0,0.0
53,2023-03-29 04:04:27.678000+00:00,159.0,3.0,159.0,4.0,0.0,0.0,718.0,0.0,0.0,0.0,118.0,3.0,154.0,0.0,0.0,0.0,163.0,2.0,0.0,0.0,163.0,2.0
