timestamp,container_fs_usage_bytes,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_fs_io_time_seconds_total,container_memory_failures_total,container_memory_failcnt,container_fs_write_seconds_total
2023-03-19 17:15:04.936000+00:00,,30642176.0,34766848.0,34766848.0,0.97,0.03427335,,624037.0,0.0,0.0,3781.0,922651.0,0.0,0.0,4003.0,,,,
2023-03-19 17:15:09.661000+00:00,532480.0,30756864.0,35012608.0,35012608.0,0.99,0.034307237,5.54,649753.0,0.0,0.0,3940.0,955472.0,0.0,0.0,4165.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:13.322000+00:00,532480.0,30756864.0,35012608.0,35012608.0,1.0,0.034307237,5.54,649753.0,0.0,0.0,3940.0,955472.0,0.0,0.0,4165.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:18.412000+00:00,712704.0,30588928.0,34758656.0,34758656.0,1.02,0.034307237,5.64,668319.0,0.0,0.0,4058.0,984047.0,0.0,0.0,4284.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:23.724000+00:00,712704.0,31133696.0,35282944.0,35282944.0,1.04,0.034387248,5.7,692113.0,0.0,0.0,4200.0,1014392.0,0.0,0.0,4429.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:29.406000+00:00,712704.0,31264768.0,35426304.0,35282944.0,1.07,0.034387248,5.8,692113.0,0.0,0.0,4200.0,1014392.0,0.0,0.0,4429.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:34.500000+00:00,712704.0,31064064.0,35233792.0,35233792.0,1.08,0.034387248,5.8,727428.0,0.0,0.0,4414.0,1062528.0,0.0,0.0,4659.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:38.903000+00:00,712704.0,30887936.0,35065856.0,35065856.0,1.1,0.034421874,5.9,736046.0,0.0,0.0,4464.0,1075973.0,0.0,0.0,4713.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:44.182000+00:00,712704.0,30887936.0,35065856.0,35065856.0,1.1,0.034421874,5.9,736046.0,0.0,0.0,4464.0,1075973.0,0.0,0.0,4713.0,0.0,0.0,0.0,0.0
2023-03-19 17:15:49.598000+00:00,712704.0,31744000.0,35917824.0,35917824.0,1.15,0.035453901,6.01,762503.0,0.0,0.0,4623.0,1112940.0,0.0,0.0,4879.0,0.0,0.0,0.0,0.0
