timestamp,rt_payment_get_user_count,rt_payment_get_user_sum,rt_payment_post_user_count,rt_payment_post_user_sum
2023-03-19 17:15:04.727000+00:00,15.0,,14.0,
2023-03-19 17:15:09.727000+00:00,17.0,18.0,16.0,27.0
2023-03-19 17:15:14.727000+00:00,17.0,0.0,16.0,0.0
2023-03-19 17:15:19.727000+00:00,19.0,24.0,18.0,42.0
2023-03-19 17:15:24.727000+00:00,21.0,21.0,20.0,33.0
2023-03-19 17:15:29.727000+00:00,23.0,19.0,22.0,27.0
2023-03-19 17:15:34.727000+00:00,24.0,11.0,22.0,0.0
2023-03-19 17:15:39.727000+00:00,25.0,12.0,23.0,14.0
2023-03-19 17:15:44.727000+00:00,25.0,0.0,23.0,0.0
2023-03-19 17:15:49.727000+00:00,26.0,11.0,24.0,14.0
2023-03-19 17:15:54.727000+00:00,28.0,19.0,26.0,27.0
2023-03-19 17:15:59.727000+00:00,30.0,19.0,26.0,0.0
2023-03-19 17:16:04.727000+00:00,31.0,13.0,27.0,18.0
2023-03-19 17:16:09.727000+00:00,31.0,0.0,27.0,0.0
2023-03-19 17:16:14.727000+00:00,33.0,17.0,29.0,26.0
2023-03-19 17:16:19.727000+00:00,34.0,12.0,30.0,12.0
2023-03-19 17:16:24.727000+00:00,34.0,0.0,30.0,0.0
2023-03-19 17:16:29.727000+00:00,36.0,26.0,32.0,29.0
2023-03-19 17:16:34.727000+00:00,39.0,33.0,35.0,41.0
2023-03-19 17:16:39.727000+00:00,41.0,18.0,36.0,12.0
2023-03-19 17:16:44.727000+00:00,42.0,12.0,37.0,13.0
2023-03-19 17:16:49.727000+00:00,43.0,9.0,38.0,12.0
2023-03-19 17:16:54.727000+00:00,43.0,0.0,38.0,0.0
2023-03-19 17:16:59.727000+00:00,45.0,18.0,40.0,27.0
2023-03-19 17:17:04.727000+00:00,46.0,9.0,41.0,13.0
2023-03-19 17:17:09.727000+00:00,47.0,13.0,42.0,14.0
2023-03-19 17:17:14.727000+00:00,51.0,36.0,46.0,60.0
2023-03-19 17:17:19.727000+00:00,53.0,25.0,47.0,14.0
2023-03-19 17:17:24.727000+00:00,54.0,10.0,48.0,16.0
2023-03-19 17:17:29.727000+00:00,55.0,9.0,49.0,16.0
2023-03-19 17:17:34.727000+00:00,58.0,28.0,52.0,43.0
2023-03-19 17:17:39.727000+00:00,59.0,9.0,53.0,11.0
2023-03-19 17:17:44.727000+00:00,62.0,29.0,55.0,29.0
2023-03-19 17:17:49.727000+00:00,64.0,21.0,57.0,23.0
2023-03-19 17:17:54.727000+00:00,64.0,0.0,57.0,0.0
2023-03-19 17:17:59.727000+00:00,66.0,29.0,59.0,32.0
2023-03-19 17:18:04.727000+00:00,66.0,0.0,59.0,0.0
2023-03-19 17:18:09.727000+00:00,68.0,26.0,61.0,28.0
2023-03-19 17:18:14.727000+00:00,69.0,10.0,62.0,14.0
2023-03-19 17:18:19.727000+00:00,70.0,17.0,63.0,72.0
2023-03-19 17:18:24.727000+00:00,71.0,9.0,64.0,18.0
2023-03-19 17:18:29.727000+00:00,73.0,23.0,66.0,31.0
2023-03-19 17:18:34.727000+00:00,74.0,10.0,67.0,13.0
2023-03-19 17:18:39.727000+00:00,75.0,12.0,68.0,15.0
2023-03-19 17:18:44.727000+00:00,79.0,44.0,72.0,60.0
2023-03-19 17:18:49.727000+00:00,81.0,21.0,74.0,29.0
2023-03-19 17:18:54.727000+00:00,84.0,32.0,77.0,43.0
