timestamp,rt_web_post_payment_count,rt_web_post_payment_sum
2023-03-19 17:15:04.727000+00:00,15.0,
2023-03-19 17:15:09.727000+00:00,17.0,474.0
2023-03-19 17:15:14.727000+00:00,17.0,0.0
2023-03-19 17:15:19.727000+00:00,19.0,501.0
2023-03-19 17:15:24.727000+00:00,21.0,487.0
2023-03-19 17:15:29.727000+00:00,23.0,476.0
2023-03-19 17:15:34.727000+00:00,24.0,227.0
2023-03-19 17:15:39.727000+00:00,25.0,239.0
2023-03-19 17:15:44.727000+00:00,25.0,0.0
2023-03-19 17:15:49.727000+00:00,26.0,239.0
2023-03-19 17:15:54.727000+00:00,28.0,475.0
2023-03-19 17:15:59.727000+00:00,29.0,226.0
2023-03-19 17:16:04.727000+00:00,30.0,249.0
2023-03-19 17:16:09.727000+00:00,30.0,0.0
2023-03-19 17:16:14.727000+00:00,32.0,466.0
2023-03-19 17:16:19.727000+00:00,33.0,236.0
2023-03-19 17:16:24.727000+00:00,33.0,0.0
2023-03-19 17:16:29.727000+00:00,35.0,480.0
2023-03-19 17:16:34.727000+00:00,38.0,715.0
2023-03-19 17:16:39.727000+00:00,40.0,453.0
2023-03-19 17:16:44.727000+00:00,41.0,237.0
2023-03-19 17:16:49.727000+00:00,42.0,233.0
2023-03-19 17:16:54.727000+00:00,42.0,0.0
2023-03-19 17:16:59.727000+00:00,44.0,470.0
2023-03-19 17:17:04.727000+00:00,45.0,234.0
2023-03-19 17:17:09.727000+00:00,46.0,239.0
2023-03-19 17:17:14.727000+00:00,50.0,946.0
2023-03-19 17:17:19.727000+00:00,52.0,462.0
2023-03-19 17:17:24.727000+00:00,53.0,238.0
2023-03-19 17:17:29.727000+00:00,54.0,238.0
2023-03-19 17:17:34.727000+00:00,57.0,726.0
2023-03-19 17:17:39.727000+00:00,58.0,235.0
2023-03-19 17:17:44.727000+00:00,61.0,695.0
2023-03-19 17:17:49.727000+00:00,63.0,470.0
2023-03-19 17:17:54.727000+00:00,63.0,0.0
2023-03-19 17:17:59.727000+00:00,65.0,487.0
2023-03-19 17:18:04.727000+00:00,65.0,0.0
2023-03-19 17:18:09.727000+00:00,67.0,481.0
2023-03-19 17:18:14.727000+00:00,68.0,237.0
2023-03-19 17:18:19.727000+00:00,69.0,301.0
2023-03-19 17:18:24.727000+00:00,70.0,239.0
2023-03-19 17:18:29.727000+00:00,72.0,479.0
2023-03-19 17:18:34.727000+00:00,73.0,235.0
2023-03-19 17:18:39.727000+00:00,74.0,242.0
2023-03-19 17:18:44.727000+00:00,78.0,958.0
2023-03-19 17:18:49.727000+00:00,80.0,476.0
2023-03-19 17:18:54.727000+00:00,83.0,715.0
2023-03-19 17:18:59.727000+00:00,84.0,239.0
2023-03-19 17:19:04.727000+00:00,85.0,227.0
2023-03-19 17:19:09.727000+00:00,86.0,239.0
2023-03-19 17:19:14.727000+00:00,87.0,242.0
2023-03-19 17:19:19.727000+00:00,87.0,0.0
2023-03-19 17:19:24.727000+00:00,91.0,946.0
2023-03-19 17:19:29.727000+00:00,92.0,243.0
2023-03-19 17:19:39.727000+00:00,95.0,713.0
2023-03-19 17:19:44.727000+00:00,97.0,495.0
2023-03-19 17:19:49.727000+00:00,99.0,459.0
2023-03-19 17:19:54.727000+00:00,101.0,477.0
2023-03-19 17:19:59.727000+00:00,103.0,486.0
