timestamp,rt_dispatch_get_rabbitmq_count,rt_dispatch_get_rabbitmq_sum
2023-03-20 03:26:02.169000+00:00,10.0,
2023-03-20 03:26:07.169000+00:00,11.0,0.0
2023-03-20 03:26:12.169000+00:00,14.0,0.0
2023-03-20 03:26:17.169000+00:00,16.0,0.0
2023-03-20 03:26:22.169000+00:00,16.0,0.0
2023-03-20 03:26:27.169000+00:00,18.0,0.0
2023-03-20 03:26:32.169000+00:00,18.0,0.0
2023-03-20 03:26:37.169000+00:00,18.0,0.0
2023-03-20 03:26:42.172000+00:00,18.0,0.0
2023-03-20 03:26:47.169000+00:00,18.0,0.0
2023-03-20 03:26:52.169000+00:00,22.0,0.0
2023-03-20 03:26:57.169000+00:00,24.0,0.0
2023-03-20 03:27:02.169000+00:00,24.0,0.0
2023-03-20 03:27:07.169000+00:00,24.0,0.0
2023-03-20 03:27:12.169000+00:00,25.0,1.0
2023-03-20 03:27:17.169000+00:00,26.0,0.0
2023-03-20 03:27:22.169000+00:00,28.0,1.0
2023-03-20 03:27:27.169000+00:00,30.0,0.0
2023-03-20 03:27:32.169000+00:00,30.0,0.0
2023-03-20 03:27:37.169000+00:00,30.0,0.0
2023-03-20 03:27:42.169000+00:00,31.0,0.0
2023-03-20 03:27:47.169000+00:00,33.0,1.0
2023-03-20 03:27:52.169000+00:00,35.0,0.0
2023-03-20 03:27:57.169000+00:00,37.0,0.0
2023-03-20 03:28:02.169000+00:00,37.0,0.0
2023-03-20 03:28:07.169000+00:00,40.0,0.0
2023-03-20 03:28:12.169000+00:00,41.0,0.0
2023-03-20 03:28:17.169000+00:00,43.0,1.0
2023-03-20 03:28:22.169000+00:00,44.0,0.0
2023-03-20 03:28:27.169000+00:00,45.0,0.0
2023-03-20 03:28:32.169000+00:00,46.0,0.0
2023-03-20 03:28:37.169000+00:00,48.0,1.0
2023-03-20 03:28:42.169000+00:00,51.0,0.0
2023-03-20 03:28:47.169000+00:00,52.0,0.0
2023-03-20 03:28:52.169000+00:00,52.0,0.0
2023-03-20 03:28:57.169000+00:00,53.0,0.0
2023-03-20 03:29:02.169000+00:00,54.0,0.0
2023-03-20 03:29:07.169000+00:00,55.0,2.0
2023-03-20 03:29:12.169000+00:00,57.0,0.0
2023-03-20 03:29:17.169000+00:00,60.0,0.0
2023-03-20 03:29:22.169000+00:00,60.0,0.0
2023-03-20 03:29:27.169000+00:00,62.0,0.0
2023-03-20 03:29:32.169000+00:00,64.0,0.0
2023-03-20 03:29:37.169000+00:00,65.0,0.0
2023-03-20 03:29:42.169000+00:00,65.0,0.0
2023-03-20 03:29:47.169000+00:00,68.0,0.0
2023-03-20 03:29:52.169000+00:00,71.0,0.0
2023-03-20 03:29:57.169000+00:00,74.0,0.0
2023-03-20 03:30:02.169000+00:00,75.0,0.0
2023-03-20 03:30:07.169000+00:00,76.0,0.0
2023-03-20 03:30:12.169000+00:00,78.0,0.0
2023-03-20 03:30:17.169000+00:00,78.0,0.0
2023-03-20 03:30:22.169000+00:00,80.0,1.0
2023-03-20 03:30:27.169000+00:00,80.0,0.0
2023-03-20 03:30:32.169000+00:00,86.0,19.0
2023-03-20 03:30:37.169000+00:00,87.0,0.0
2023-03-20 03:30:42.169000+00:00,88.0,0.0
2023-03-20 03:30:47.169000+00:00,89.0,0.0
2023-03-20 03:30:52.169000+00:00,90.0,0.0
2023-03-20 03:30:57.169000+00:00,90.0,0.0
2023-03-20 03:31:02.169000+00:00,91.0,0.0
2023-03-20 03:31:07.169000+00:00,93.0,0.0
2023-03-20 03:31:12.169000+00:00,95.0,0.0
2023-03-20 03:31:17.169000+00:00,96.0,0.0
2023-03-20 03:31:22.169000+00:00,96.0,0.0
2023-03-20 03:31:27.169000+00:00,99.0,0.0
2023-03-20 03:31:32.169000+00:00,101.0,0.0
2023-03-20 03:31:37.169000+00:00,103.0,0.0
2023-03-20 03:31:42.169000+00:00,104.0,0.0
2023-03-20 03:31:47.169000+00:00,106.0,0.0
2023-03-20 03:31:52.169000+00:00,110.0,0.0
2023-03-20 03:31:57.169000+00:00,111.0,0.0
2023-03-20 03:32:02.169000+00:00,112.0,0.0
2023-03-20 03:32:07.169000+00:00,113.0,0.0
2023-03-20 03:32:12.169000+00:00,115.0,0.0
2023-03-20 03:32:17.169000+00:00,116.0,0.0
2023-03-20 03:32:22.169000+00:00,117.0,1.0
2023-03-20 03:32:27.169000+00:00,119.0,0.0
2023-03-20 03:32:32.169000+00:00,120.0,0.0
2023-03-20 03:32:37.169000+00:00,122.0,0.0
2023-03-20 03:32:42.169000+00:00,124.0,0.0
2023-03-20 03:32:47.169000+00:00,124.0,0.0
2023-03-20 03:32:52.169000+00:00,125.0,0.0
2023-03-20 03:32:57.169000+00:00,127.0,0.0
2023-03-20 03:33:02.169000+00:00,130.0,1.0
2023-03-20 03:33:07.169000+00:00,130.0,0.0
2023-03-20 03:33:12.169000+00:00,132.0,1.0
2023-03-20 03:33:17.169000+00:00,135.0,0.0
2023-03-20 03:33:22.169000+00:00,136.0,0.0
2023-03-20 03:33:27.169000+00:00,136.0,0.0
2023-03-20 03:33:32.169000+00:00,138.0,0.0
2023-03-20 03:33:37.169000+00:00,139.0,0.0
2023-03-20 03:33:42.169000+00:00,140.0,0.0
2023-03-20 03:33:47.169000+00:00,142.0,0.0
2023-03-20 03:33:52.169000+00:00,143.0,0.0
2023-03-20 03:33:57.169000+00:00,144.0,0.0
2023-03-20 03:34:02.169000+00:00,146.0,1.0
2023-03-20 03:34:07.169000+00:00,146.0,0.0
2023-03-20 03:34:12.169000+00:00,146.0,0.0
2023-03-20 03:34:17.169000+00:00,147.0,0.0
2023-03-20 03:34:22.169000+00:00,147.0,0.0
2023-03-20 03:34:27.169000+00:00,148.0,0.0
2023-03-20 03:34:32.169000+00:00,148.0,0.0
2023-03-20 03:34:37.169000+00:00,150.0,0.0
2023-03-20 03:34:42.169000+00:00,153.0,1.0
2023-03-20 03:34:47.169000+00:00,154.0,57.0
2023-03-20 03:34:52.169000+00:00,156.0,0.0
2023-03-20 03:34:57.169000+00:00,157.0,0.0
2023-03-20 03:35:02.169000+00:00,158.0,0.0
2023-03-20 03:35:07.169000+00:00,161.0,1.0
2023-03-20 03:35:12.169000+00:00,161.0,0.0
2023-03-20 03:35:17.169000+00:00,162.0,0.0
2023-03-20 03:35:22.169000+00:00,166.0,136.0
2023-03-20 03:35:27.169000+00:00,167.0,0.0
2023-03-20 03:35:32.169000+00:00,169.0,0.0
2023-03-20 03:35:37.169000+00:00,169.0,0.0
2023-03-20 03:35:42.169000+00:00,171.0,0.0
2023-03-20 03:35:47.169000+00:00,173.0,0.0
2023-03-20 03:35:52.169000+00:00,175.0,0.0
2023-03-20 03:35:57.169000+00:00,176.0,0.0
2023-03-20 03:36:02.169000+00:00,176.0,0.0
2023-03-20 03:36:07.169000+00:00,176.0,0.0
2023-03-20 03:36:12.169000+00:00,176.0,0.0
2023-03-20 03:36:17.169000+00:00,176.0,0.0
2023-03-20 03:36:22.169000+00:00,176.0,0.0
2023-03-20 03:36:27.169000+00:00,178.0,0.0
2023-03-20 03:36:32.169000+00:00,179.0,0.0
2023-03-20 03:36:37.169000+00:00,180.0,35.0
2023-03-20 03:36:42.169000+00:00,181.0,41.0
2023-03-20 03:36:47.169000+00:00,182.0,0.0
2023-03-20 03:36:52.169000+00:00,185.0,0.0
2023-03-20 03:36:57.169000+00:00,187.0,0.0
2023-03-20 03:37:02.169000+00:00,191.0,0.0
2023-03-20 03:37:07.169000+00:00,192.0,1.0
2023-03-20 03:37:12.169000+00:00,192.0,0.0
2023-03-20 03:37:17.169000+00:00,192.0,0.0
2023-03-20 03:37:22.169000+00:00,196.0,2.0
2023-03-20 03:37:27.169000+00:00,196.0,0.0
