timestamp,rt_web_post_payment_count,rt_web_post_payment_sum
2023-03-20 17:30:04.727000+00:00,9.0,
2023-03-20 17:30:09.727000+00:00,9.0,0.0
2023-03-20 17:30:14.727000+00:00,10.0,1842.0
2023-03-20 17:30:19.727000+00:00,11.0,1851.0
2023-03-20 17:30:24.727000+00:00,13.0,3692.0
2023-03-20 17:30:29.727000+00:00,17.0,7402.0
2023-03-20 17:30:39.727000+00:00,22.0,8204.0
2023-03-20 17:30:44.727000+00:00,24.0,2700.0
2023-03-20 17:30:49.727000+00:00,26.0,3695.0
2023-03-20 17:30:54.727000+00:00,26.0,0.0
2023-03-20 17:30:59.727000+00:00,26.0,0.0
2023-03-20 17:31:04.727000+00:00,27.0,1849.0
2023-03-20 17:31:09.727000+00:00,27.0,0.0
2023-03-20 17:31:14.727000+00:00,28.0,827.0
2023-03-20 17:31:19.727000+00:00,32.0,7662.0
2023-03-20 17:31:24.727000+00:00,33.0,1846.0
2023-03-20 17:31:29.727000+00:00,34.0,1848.0
2023-03-20 17:31:34.727000+00:00,35.0,1847.0
2023-03-20 17:31:39.727000+00:00,35.0,0.0
2023-03-20 17:31:44.727000+00:00,37.0,3691.0
2023-03-20 17:31:49.727000+00:00,39.0,3694.0
2023-03-20 17:31:54.727000+00:00,40.0,1846.0
2023-03-20 17:31:59.727000+00:00,41.0,1853.0
2023-03-20 17:32:04.727000+00:00,41.0,0.0
2023-03-20 17:32:09.727000+00:00,43.0,3692.0
2023-03-20 17:32:14.727000+00:00,45.0,3695.0
2023-03-20 17:32:19.727000+00:00,47.0,3695.0
2023-03-20 17:32:24.727000+00:00,49.0,3702.0
2023-03-20 17:32:29.727000+00:00,52.0,5562.0
2023-03-20 17:32:34.727000+00:00,52.0,0.0
2023-03-20 17:32:39.727000+00:00,54.0,3697.0
2023-03-20 17:32:44.727000+00:00,56.0,2676.0
2023-03-20 17:32:49.727000+00:00,58.0,2672.0
2023-03-20 17:32:54.727000+00:00,58.0,0.0
2023-03-20 17:32:59.727000+00:00,61.0,5553.0
2023-03-20 17:33:04.727000+00:00,61.0,0.0
2023-03-20 17:33:09.727000+00:00,63.0,3705.0
2023-03-20 17:33:14.727000+00:00,65.0,2681.0
2023-03-20 17:33:19.727000+00:00,65.0,0.0
2023-03-20 17:33:24.727000+00:00,65.0,0.0
2023-03-20 17:33:29.727000+00:00,69.0,7389.0
2023-03-20 17:33:34.727000+00:00,71.0,3691.0
2023-03-20 17:33:39.727000+00:00,73.0,3691.0
2023-03-20 17:33:44.727000+00:00,74.0,1846.0
2023-03-20 17:33:49.727000+00:00,76.0,2669.0
2023-03-20 17:33:54.727000+00:00,76.0,0.0
2023-03-20 17:33:59.727000+00:00,76.0,0.0
2023-03-20 17:34:04.727000+00:00,79.0,5608.0
