timestamp,rt_catalogue_get_mongo_categories_count,rt_catalogue_get_mongo_categories_sum,rt_catalogue_get_mongo_products_count,rt_catalogue_get_mongo_products_sum,rt_catalogue_get_mongo_productscat_count,rt_catalogue_get_mongo_productscat_sum,rt_catalogue_get_mongo_productsku_count,rt_catalogue_get_mongo_productsku_sum,rt_catalogue_get_mongo_search_count,rt_catalogue_get_mongo_search_sum,rt_user_get_mongo_checkid_count,rt_user_get_mongo_checkid_sum,rt_user_get_mongo_history_count,rt_user_get_mongo_history_sum,rt_user_get_mongo_users_count,rt_user_get_mongo_users_sum,rt_user_post_mongo_login_count,rt_user_post_mongo_login_sum,rt_user_post_mongo_order_count,rt_user_post_mongo_order_sum,rt_user_post_mongo_register_count,rt_user_post_mongo_register_sum
2023-03-20 17:30:02.678000+00:00,63.0,,63.0,,0.0,,263.0,,0.0,,8.0,,54.0,,0.0,,75.0,,7.0,,77.0,
2023-03-20 17:30:07.678000+00:00,66.0,2.0,66.0,1.0,0.0,0.0,277.0,1.0,0.0,0.0,9.0,1.0,56.0,2.0,0.0,0.0,82.0,7.0,8.0,1.0,78.0,2.0
2023-03-20 17:30:12.678000+00:00,68.0,1.0,68.0,2.0,0.0,0.0,288.0,3.0,0.0,0.0,9.0,0.0,57.0,0.0,0.0,0.0,82.0,0.0,8.0,0.0,78.0,0.0
2023-03-20 17:30:17.678000+00:00,69.0,0.0,69.0,0.0,0.0,0.0,293.0,1.0,0.0,0.0,10.0,1.0,60.0,1.0,0.0,0.0,85.0,1.0,9.0,0.0,79.0,1.0
2023-03-20 17:30:22.678000+00:00,71.0,2.0,71.0,0.0,0.0,0.0,302.0,1.0,0.0,0.0,11.0,1.0,60.0,0.0,0.0,0.0,86.0,1.0,10.0,1.0,82.0,3.0
2023-03-20 17:30:27.678000+00:00,73.0,2.0,73.0,2.0,0.0,0.0,312.0,0.0,0.0,0.0,13.0,2.0,61.0,0.0,0.0,0.0,87.0,1.0,12.0,1.0,82.0,0.0
2023-03-20 17:30:32.678000+00:00,81.0,5.0,81.0,4.0,0.0,0.0,350.0,1.0,0.0,0.0,16.0,3.0,61.0,0.0,0.0,0.0,87.0,0.0,14.0,2.0,83.0,1.0
2023-03-20 17:30:37.678000+00:00,82.0,0.0,82.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,19.0,3.0,63.0,4.0,0.0,0.0,89.0,2.0,17.0,2.0,84.0,1.0
2023-03-20 17:30:42.678000+00:00,84.0,1.0,84.0,2.0,0.0,0.0,364.0,0.0,0.0,0.0,22.0,1.0,67.0,2.0,0.0,0.0,90.0,0.0,19.0,2.0,86.0,2.0
2023-03-20 17:30:47.678000+00:00,86.0,2.0,86.0,1.0,0.0,0.0,374.0,0.0,0.0,0.0,25.0,2.0,67.0,0.0,0.0,0.0,91.0,1.0,22.0,3.0,89.0,2.0
2023-03-20 17:30:52.678000+00:00,86.0,0.0,86.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,26.0,1.0,70.0,1.0,0.0,0.0,91.0,0.0,23.0,0.0,89.0,0.0
2023-03-20 17:30:57.678000+00:00,86.0,0.0,86.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,26.0,0.0,72.0,2.0,0.0,0.0,94.0,1.0,23.0,0.0,90.0,1.0
2023-03-20 17:31:02.678000+00:00,87.0,0.0,87.0,0.0,0.0,0.0,379.0,0.0,0.0,0.0,26.0,0.0,75.0,2.0,0.0,0.0,95.0,1.0,23.0,0.0,93.0,2.0
2023-03-20 17:31:07.678000+00:00,87.0,0.0,87.0,0.0,0.0,0.0,379.0,0.0,0.0,0.0,27.0,1.0,76.0,1.0,0.0,0.0,96.0,1.0,24.0,1.0,94.0,1.0
2023-03-20 17:31:12.678000+00:00,89.0,1.0,89.0,2.0,0.0,0.0,387.0,1.0,0.0,0.0,27.0,0.0,80.0,2.0,0.0,0.0,97.0,1.0,24.0,0.0,95.0,1.0
