timestamp,rt_payment_get_user_count,rt_payment_get_user_sum,rt_payment_post_user_count,rt_payment_post_user_sum
2023-03-20 15:21:34.727000+00:00,17.0,,14.0,
2023-03-20 15:21:39.727000+00:00,18.0,1871.0,15.0,853.0
2023-03-20 15:21:44.727000+00:00,18.0,0.0,15.0,0.0
2023-03-20 15:21:49.727000+00:00,19.0,648.0,16.0,423.0
2023-03-20 15:21:54.727000+00:00,21.0,280.0,18.0,2120.0
2023-03-20 15:21:59.727000+00:00,24.0,1250.0,21.0,2600.0
2023-03-20 15:22:04.727000+00:00,26.0,23.0,21.0,0.0
2023-03-20 15:22:09.727000+00:00,27.0,215.0,22.0,2072.0
2023-03-20 15:22:14.727000+00:00,28.0,10.0,23.0,691.0
2023-03-20 15:22:19.727000+00:00,28.0,0.0,23.0,0.0
2023-03-20 15:22:24.727000+00:00,29.0,1058.0,24.0,2980.0
2023-03-20 15:22:29.727000+00:00,30.0,222.0,25.0,2374.0
2023-03-20 15:22:34.727000+00:00,32.0,3816.0,27.0,559.0
2023-03-20 15:22:54.732000+00:00,38.0,6700.0,33.0,9026.0
2023-03-20 15:22:59.727000+00:00,38.0,0.0,33.0,0.0
2023-03-20 15:23:04.727000+00:00,41.0,1252.0,36.0,3905.0
2023-03-20 15:23:09.727000+00:00,42.0,1018.0,37.0,30.0
2023-03-20 15:23:14.727000+00:00,44.0,269.0,39.0,5133.0
2023-03-20 15:23:19.727000+00:00,45.0,46.0,40.0,2137.0
2023-03-20 15:23:24.727000+00:00,46.0,222.0,41.0,1212.0
2023-03-20 15:23:29.727000+00:00,48.0,244.0,43.0,2159.0
2023-03-20 15:23:34.727000+00:00,49.0,1753.0,44.0,2154.0
2023-03-20 15:23:39.727000+00:00,51.0,463.0,46.0,1713.0
2023-03-20 15:23:44.727000+00:00,53.0,1675.0,48.0,1258.0
2023-03-20 15:23:49.727000+00:00,57.0,1685.0,52.0,4190.0
2023-03-20 15:23:54.727000+00:00,58.0,14.0,53.0,2157.0
2023-03-20 15:24:09.731000+00:00,62.0,4489.0,56.0,9612.0
2023-03-20 15:24:14.727000+00:00,64.0,901.0,57.0,67.0
2023-03-20 15:24:19.727000+00:00,65.0,418.0,58.0,81.0
2023-03-20 15:24:24.727000+00:00,66.0,11.0,59.0,1265.0
2023-03-20 15:24:29.727000+00:00,68.0,259.0,60.0,639.0
2023-03-20 15:24:39.730000+00:00,72.0,1668.0,64.0,5189.0
2023-03-20 15:24:44.727000+00:00,73.0,1016.0,65.0,446.0
2023-03-20 15:24:49.727000+00:00,74.0,416.0,66.0,1220.0
2023-03-20 15:24:54.727000+00:00,75.0,45.0,66.0,0.0
2023-03-20 15:24:59.727000+00:00,76.0,1077.0,67.0,253.0
2023-03-20 15:25:04.727000+00:00,77.0,1651.0,68.0,257.0
2023-03-20 15:25:09.727000+00:00,77.0,0.0,68.0,0.0
2023-03-20 15:25:29.731000+00:00,86.0,5926.0,76.0,14356.0
2023-03-20 15:25:34.727000+00:00,87.0,211.0,77.0,1115.0
2023-03-20 15:25:39.727000+00:00,87.0,0.0,77.0,0.0
2023-03-20 15:25:44.727000+00:00,90.0,2524.0,80.0,2979.0
2023-03-20 15:25:54.730000+00:00,94.0,3820.0,84.0,7034.0
