Unnamed: 0,timestamp,rt_ratings_put_PDO_count,rt_ratings_put_PDO_sum
0,2023-03-28 12:40:00.514000+00:00,43.0,
1,2023-03-28 12:40:05.514000+00:00,44.0,0.23171200000000003
2,2023-03-28 12:40:10.514000+00:00,44.0,0.0
3,2023-03-28 12:40:15.514000+00:00,46.0,0.0703990000000001
4,2023-03-28 12:40:20.514000+00:00,47.0,0.06277699999999986
5,2023-03-28 12:40:25.514000+00:00,47.0,0.0
6,2023-03-28 12:40:30.514000+00:00,47.0,0.0
7,2023-03-28 12:40:35.514000+00:00,47.0,0.0
8,2023-03-28 12:40:40.514000+00:00,48.0,0.05114400000000008
9,2023-03-28 12:40:45.514000+00:00,49.0,0.05434099999999997
10,2023-03-28 12:40:50.514000+00:00,49.0,0.0
11,2023-03-28 12:40:55.514000+00:00,50.0,0.06013000000000002
12,2023-03-28 12:41:00.514000+00:00,50.0,0.0
13,2023-03-28 12:41:05.514000+00:00,50.0,0.0
14,2023-03-28 12:41:10.514000+00:00,50.0,0.0
15,2023-03-28 12:41:15.514000+00:00,51.0,0.05638399999999999
16,2023-03-28 12:41:20.514000+00:00,52.0,0.04148599999999991
17,2023-03-28 12:41:25.514000+00:00,52.0,0.0
18,2023-03-28 12:41:30.514000+00:00,52.0,0.0
19,2023-03-28 12:41:35.514000+00:00,53.0,0.033897000000000066
20,2023-03-28 12:41:40.514000+00:00,55.0,0.0
21,2023-03-28 12:41:45.514000+00:00,56.0,0.04136300000000004
22,2023-03-28 12:41:50.514000+00:00,58.0,0.09814199999999984
23,2023-03-28 12:41:55.514000+00:00,60.0,0.0730860000000001
24,2023-03-28 12:42:00.514000+00:00,61.0,0.04904200000000003
25,2023-03-28 12:42:05.514000+00:00,61.0,0.0
26,2023-03-28 12:42:10.514000+00:00,61.0,0.0
27,2023-03-28 12:42:15.514000+00:00,66.0,0.0
28,2023-03-28 12:42:20.514000+00:00,67.0,0.1420760000000001
29,2023-03-28 12:42:25.514000+00:00,69.0,0.08104899999999993
30,2023-03-28 12:42:30.514000+00:00,69.0,0.0
31,2023-03-28 12:42:35.514000+00:00,69.0,0.0
32,2023-03-28 12:42:40.514000+00:00,69.0,0.0
33,2023-03-28 12:42:45.514000+00:00,69.0,0.0
34,2023-03-28 12:42:50.514000+00:00,69.0,0.0
35,2023-03-28 12:42:55.514000+00:00,69.0,0.0
36,2023-03-28 12:43:00.514000+00:00,71.0,0.395439
37,2023-03-28 12:43:05.514000+00:00,71.0,0.0
38,2023-03-28 12:43:10.514000+00:00,71.0,0.0
39,2023-03-28 12:43:15.514000+00:00,73.0,0.08037699999999992
