Unnamed: 0,timestamp,rt_cart_delete_redis_count,rt_cart_delete_redis_sum,rt_cart_get_redis_count,rt_cart_get_redis_sum,rt_cart_post_redis_count,rt_cart_post_redis_sum,rt_user_get_redis_count,rt_user_get_redis_sum
0,2023-03-28 12:40:00.408000+00:00,22.0,,425.0,,322.0,,105.0,
1,2023-03-28 12:40:05.408000+00:00,23.0,0.0,433.0,1.0,328.0,1.0,105.0,0.0
2,2023-03-28 12:40:10.408000+00:00,23.0,0.0,433.0,0.0,328.0,0.0,107.0,0.0
3,2023-03-28 12:40:15.408000+00:00,25.0,2.0,442.0,0.0,335.0,3.0,108.0,0.0
4,2023-03-28 12:40:20.408000+00:00,25.0,0.0,447.0,0.0,339.0,0.0,110.0,0.0
5,2023-03-28 12:40:25.408000+00:00,26.0,0.0,456.0,2.0,346.0,1.0,111.0,0.0
6,2023-03-28 12:40:30.408000+00:00,26.0,0.0,461.0,1.0,350.0,0.0,112.0,0.0
7,2023-03-28 12:40:35.408000+00:00,27.0,1.0,466.0,2.0,354.0,0.0,112.0,0.0
8,2023-03-28 12:40:40.408000+00:00,27.0,0.0,469.0,0.0,356.0,0.0,114.0,0.0
9,2023-03-28 12:40:45.408000+00:00,28.0,1.0,478.0,1.0,363.0,0.0,115.0,0.0
10,2023-03-28 12:40:50.408000+00:00,28.0,0.0,478.0,0.0,363.0,0.0,115.0,0.0
11,2023-03-28 12:40:55.408000+00:00,29.0,0.0,483.0,1.0,367.0,2.0,117.0,1.0
12,2023-03-28 12:41:00.408000+00:00,30.0,0.0,488.0,0.0,371.0,1.0,117.0,0.0
13,2023-03-28 12:41:05.408000+00:00,30.0,0.0,488.0,0.0,371.0,0.0,117.0,0.0
14,2023-03-28 12:41:10.408000+00:00,31.0,1.0,488.0,0.0,371.0,0.0,118.0,0.0
15,2023-03-28 12:41:15.408000+00:00,32.0,0.0,493.0,0.0,375.0,2.0,120.0,0.0
16,2023-03-28 12:41:20.408000+00:00,32.0,0.0,502.0,1.0,382.0,1.0,121.0,0.0
17,2023-03-28 12:41:25.408000+00:00,33.0,0.0,506.0,1.0,385.0,0.0,122.0,0.0
18,2023-03-28 12:41:30.408000+00:00,33.0,0.0,516.0,2.0,393.0,1.0,124.0,0.0
19,2023-03-28 12:41:35.408000+00:00,34.0,0.0,523.0,1.0,398.0,0.0,129.0,1.0
