timestamp,container_fs_usage_bytes,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_fs_io_time_seconds_total,container_memory_failures_total,container_memory_failcnt,container_fs_write_seconds_total
2023-03-28 12:40:04.295000+00:00,856064.0,31404032.0,36286464.0,36282368.0,1.64,0.005801473,7.7,604560.0,0.0,0.0,5016.0,1041155.0,0.0,0.0,5482.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:09.539000+00:00,856064.0,31404032.0,36286464.0,36904960.0,1.66,0.005801473,7.8,613339.0,0.0,0.0,5085.0,1055141.0,0.0,0.0,5562.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:13.599000+00:00,856064.0,31621120.0,36593664.0,36589568.0,1.66,0.005801473,7.81,617955.0,0.0,0.0,5127.0,1064880.0,0.0,0.0,5608.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:19.077000+00:00,856064.0,31621120.0,36593664.0,37060608.0,1.69,0.005801473,7.95,633289.0,0.0,0.0,5239.0,1083391.0,0.0,0.0,5716.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:23.824000+00:00,856064.0,31821824.0,36888576.0,36884480.0,1.69,0.005801473,8.0,642416.0,0.0,0.0,5311.0,1099976.0,0.0,0.0,5816.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:28.974000+00:00,856064.0,31821824.0,36888576.0,36884480.0,1.71,0.005801473,8.12,642416.0,0.0,0.0,5311.0,1099976.0,0.0,0.0,5816.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:34.273000+00:00,856064.0,32739328.0,37675008.0,37670912.0,1.71,0.005801473,8.17,668694.0,0.0,0.0,5495.0,1139377.0,0.0,0.0,6027.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:39.565000+00:00,856064.0,32583680.0,37556224.0,37552128.0,1.74,0.005801473,8.24,677972.0,0.0,0.0,5578.0,1156067.0,0.0,0.0,6125.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:43.929000+00:00,856064.0,32223232.0,37359616.0,37355520.0,1.74,0.005801473,8.26,682711.0,0.0,0.0,5615.0,1166583.0,0.0,0.0,6174.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:49.776000+00:00,856064.0,32280576.0,37396480.0,37392384.0,1.77,0.005801473,8.36,693302.0,0.0,0.0,5697.0,1180018.0,0.0,0.0,6255.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:54.581000+00:00,995328.0,32907264.0,37822464.0,37818368.0,1.78,0.005801473,8.4,706839.0,0.0,0.0,5780.0,1201189.0,0.0,0.0,6352.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:59.269000+00:00,995328.0,32907264.0,38068224.0,38064128.0,1.81,0.005801473,8.52,718150.0,0.0,0.0,5868.0,1217052.0,0.0,0.0,6455.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:04.839000+00:00,995328.0,32956416.0,37941248.0,37937152.0,1.81,0.005801473,8.54,728158.0,0.0,0.0,5951.0,1233831.0,0.0,0.0,6554.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:09.070000+00:00,995328.0,31191040.0,36556800.0,36552704.0,1.86,0.005801473,8.74,733598.0,0.0,0.0,5993.0,1243869.0,0.0,0.0,6600.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:13.859000+00:00,995328.0,31715328.0,36610048.0,36605952.0,1.86,0.005801473,8.78,740737.0,0.0,0.0,6050.0,1255786.0,0.0,0.0,6661.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:18.360000+00:00,995328.0,31715328.0,36352000.0,36347904.0,1.87,0.005801473,8.78,748917.0,0.0,0.0,6123.0,1269743.0,0.0,0.0,6739.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:24.352000+00:00,995328.0,31580160.0,36483072.0,36478976.0,1.88,0.005801473,8.93,766564.0,0.0,0.0,6247.0,1292764.0,0.0,0.0,6875.0,0.0,0.0,0.0,0.0
