timestamp,rt_catalogue_get_mongo_categories_count,rt_catalogue_get_mongo_categories_sum,rt_catalogue_get_mongo_products_count,rt_catalogue_get_mongo_products_sum,rt_catalogue_get_mongo_productscat_count,rt_catalogue_get_mongo_productscat_sum,rt_catalogue_get_mongo_productsku_count,rt_catalogue_get_mongo_productsku_sum,rt_catalogue_get_mongo_search_count,rt_catalogue_get_mongo_search_sum
2023-03-21 02:40:02.678000+00:00,30.0,,28.0,,1.0,,115.0,,0.0,
2023-03-21 02:40:07.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:12.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:17.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:22.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:27.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:32.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:37.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:42.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:47.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:52.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:40:57.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:02.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:07.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:12.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:17.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:22.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:27.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:32.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:37.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:42.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:47.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:52.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:41:57.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:02.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:07.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:12.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:17.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:22.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:27.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:32.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:37.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:42.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:47.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:52.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
2023-03-21 02:42:57.678000+00:00,30.0,0.0,28.0,0.0,1.0,0.0,115.0,0.0,0.0,0.0
