timestamp,rt_cart_delete_redis_count,rt_cart_delete_redis_sum,rt_cart_get_redis_count,rt_cart_get_redis_sum,rt_cart_post_redis_count,rt_cart_post_redis_sum
2023-03-21 02:40:00.408000+00:00,8.0,,111.0,,82.0,
2023-03-21 02:40:05.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:10.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:15.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:20.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:25.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:30.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:35.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:40.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:45.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:50.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:40:55.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:00.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:05.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:10.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:15.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:20.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:25.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:30.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:35.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:40.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:45.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
2023-03-21 02:41:50.408000+00:00,8.0,0.0,111.0,0.0,82.0,0.0
