timestamp,rt_cart_delete_redis_count,rt_cart_delete_redis_sum,rt_cart_get_redis_count,rt_cart_get_redis_sum,rt_cart_post_redis_count,rt_cart_post_redis_sum,rt_user_get_redis_count,rt_user_get_redis_sum
2023-03-21 04:41:00.408000+00:00,4.0,,206.0,,151.0,,55.0,
2023-03-21 04:41:05.408000+00:00,6.0,1.0,215.0,2.0,158.0,7.0,57.0,0.0
2023-03-21 04:41:10.408000+00:00,6.0,0.0,219.0,0.0,161.0,2.0,58.0,0.0
2023-03-21 04:41:15.408000+00:00,6.0,0.0,219.0,0.0,161.0,0.0,59.0,0.0
2023-03-21 04:41:20.408000+00:00,7.0,1.0,228.0,1.0,168.0,0.0,60.0,1.0
2023-03-21 04:41:25.408000+00:00,9.0,0.0,238.0,2.0,176.0,1.0,62.0,0.0
2023-03-21 04:41:30.408000+00:00,10.0,0.0,239.0,0.0,177.0,0.0,62.0,0.0
2023-03-21 04:41:35.408000+00:00,12.0,0.0,249.0,2.0,185.0,0.0,65.0,1.0
2023-03-21 04:41:40.408000+00:00,13.0,1.0,258.0,1.0,192.0,1.0,66.0,0.0
2023-03-21 04:41:45.408000+00:00,13.0,0.0,258.0,0.0,192.0,0.0,66.0,0.0
2023-03-21 04:41:50.408000+00:00,15.0,0.0,276.0,4.0,206.0,3.0,70.0,0.0
2023-03-21 04:41:55.408000+00:00,18.0,1.0,289.0,7.0,216.0,3.0,73.0,0.0
2023-03-21 04:42:00.408000+00:00,21.0,0.0,303.0,2.0,227.0,3.0,77.0,0.0
2023-03-21 04:42:05.408000+00:00,24.0,0.0,316.0,2.0,237.0,3.0,79.0,1.0
2023-03-21 04:42:10.408000+00:00,25.0,0.0,320.0,0.0,240.0,0.0,81.0,0.0
2023-03-21 04:42:15.408000+00:00,29.0,0.0,347.0,6.0,261.0,1.0,87.0,2.0
2023-03-21 04:42:20.408000+00:00,32.0,1.0,358.0,1.0,270.0,6.0,89.0,0.0
2023-03-21 04:42:25.408000+00:00,34.0,0.0,367.0,2.0,277.0,1.0,90.0,0.0
2023-03-21 04:42:30.408000+00:00,35.0,0.0,368.0,0.0,278.0,0.0,90.0,0.0
2023-03-21 04:42:35.408000+00:00,35.0,0.0,368.0,0.0,278.0,0.0,90.0,0.0
2023-03-21 04:42:40.408000+00:00,35.0,0.0,368.0,0.0,278.0,0.0,91.0,0.0
2023-03-21 04:42:45.408000+00:00,36.0,0.0,373.0,1.0,282.0,0.0,91.0,0.0
2023-03-21 04:42:50.408000+00:00,36.0,0.0,377.0,0.0,285.0,1.0,92.0,0.0
2023-03-21 04:42:55.408000+00:00,36.0,0.0,377.0,0.0,285.0,0.0,92.0,0.0
2023-03-21 04:43:00.408000+00:00,37.0,0.0,382.0,1.0,289.0,2.0,93.0,0.0
2023-03-21 04:43:05.408000+00:00,38.0,0.0,390.0,1.0,295.0,1.0,95.0,1.0
2023-03-21 04:43:10.408000+00:00,39.0,0.0,395.0,2.0,299.0,0.0,96.0,0.0
2023-03-21 04:43:15.408000+00:00,39.0,0.0,403.0,0.0,305.0,1.0,99.0,3.0
2023-03-21 04:43:20.408000+00:00,41.0,0.0,416.0,1.0,315.0,2.0,101.0,0.0
2023-03-21 04:43:25.408000+00:00,43.0,0.0,421.0,0.0,319.0,0.0,102.0,0.0
2023-03-21 04:43:30.408000+00:00,43.0,0.0,426.0,2.0,323.0,0.0,103.0,0.0
2023-03-21 04:43:35.408000+00:00,45.0,0.0,431.0,3.0,327.0,0.0,104.0,0.0
2023-03-21 04:43:40.408000+00:00,48.0,1.0,445.0,2.0,338.0,1.0,107.0,0.0
2023-03-21 04:43:45.408000+00:00,48.0,0.0,448.0,1.0,340.0,1.0,108.0,0.0
2023-03-21 04:43:50.408000+00:00,49.0,0.0,463.0,4.0,351.0,0.0,114.0,2.0
2023-03-21 04:43:55.408000+00:00,55.0,2.0,488.0,7.0,371.0,8.0,117.0,0.0
2023-03-21 04:44:00.408000+00:00,55.0,0.0,492.0,1.0,374.0,0.0,119.0,0.0
2023-03-21 04:44:05.408000+00:00,56.0,0.0,498.0,0.0,378.0,1.0,120.0,0.0
2023-03-21 04:44:10.408000+00:00,59.0,0.0,519.0,0.0,394.0,4.0,125.0,1.0
2023-03-21 04:44:15.408000+00:00,62.0,2.0,529.0,3.0,402.0,2.0,128.0,2.0
2023-03-21 04:44:20.408000+00:00,63.0,0.0,538.0,2.0,409.0,0.0,129.0,0.0
2023-03-21 04:44:25.408000+00:00,64.0,0.0,539.0,0.0,410.0,1.0,130.0,0.0
2023-03-21 04:44:30.408000+00:00,66.0,0.0,554.0,3.0,422.0,2.0,132.0,0.0
2023-03-21 04:44:35.408000+00:00,68.0,0.0,559.0,3.0,426.0,1.0,133.0,1.0
2023-03-21 04:44:40.408000+00:00,69.0,0.0,563.0,0.0,429.0,0.0,135.0,0.0
2023-03-21 04:44:45.408000+00:00,71.0,0.0,579.0,2.0,441.0,2.0,138.0,1.0
2023-03-21 04:44:50.408000+00:00,71.0,0.0,579.0,0.0,441.0,0.0,138.0,0.0
2023-03-21 04:44:55.408000+00:00,72.0,0.0,580.0,0.0,442.0,0.0,139.0,0.0
2023-03-21 04:45:00.408000+00:00,73.0,0.0,589.0,1.0,449.0,1.0,140.0,1.0
2023-03-21 04:45:05.408000+00:00,74.0,0.0,590.0,0.0,450.0,0.0,140.0,0.0
2023-03-21 04:45:10.408000+00:00,74.0,0.0,594.0,0.0,453.0,0.0,141.0,0.0
2023-03-21 04:45:15.408000+00:00,76.0,0.0,607.0,0.0,462.0,4.0,145.0,0.0
2023-03-21 04:45:20.408000+00:00,79.0,1.0,624.0,4.0,476.0,2.0,148.0,1.0
2023-03-21 04:45:25.408000+00:00,83.0,1.0,638.0,3.0,487.0,0.0,151.0,1.0
2023-03-21 04:45:30.408000+00:00,85.0,0.0,648.0,4.0,495.0,1.0,153.0,0.0
2023-03-21 04:45:35.408000+00:00,86.0,0.0,654.0,1.0,500.0,0.0,154.0,0.0
2023-03-21 04:45:40.408000+00:00,87.0,0.0,658.0,1.0,503.0,0.0,155.0,0.0
2023-03-21 04:45:45.408000+00:00,87.0,0.0,658.0,0.0,503.0,0.0,155.0,0.0
2023-03-21 04:45:50.408000+00:00,88.0,0.0,670.0,3.0,512.0,1.0,160.0,1.0
2023-03-21 04:45:55.408000+00:00,93.0,1.0,689.0,2.0,527.0,4.0,162.0,1.0
2023-03-21 04:46:00.408000+00:00,93.0,0.0,689.0,0.0,527.0,0.0,163.0,0.0
2023-03-21 04:46:05.408000+00:00,96.0,0.0,709.0,2.0,542.0,4.0,168.0,1.0
2023-03-21 04:46:10.408000+00:00,98.0,1.0,725.0,2.0,554.0,1.0,172.0,1.0
2023-03-21 04:46:15.408000+00:00,101.0,0.0,745.0,3.0,570.0,3.0,175.0,1.0
2023-03-21 04:46:20.408000+00:00,103.0,1.0,749.0,1.0,573.0,1.0,176.0,0.0
2023-03-21 04:46:25.408000+00:00,105.0,1.0,759.0,1.0,581.0,1.0,179.0,1.0
2023-03-21 04:46:30.408000+00:00,107.0,1.0,776.0,4.0,594.0,1.0,182.0,1.0
2023-03-21 04:46:35.408000+00:00,108.0,0.0,781.0,1.0,598.0,1.0,183.0,0.0
2023-03-21 04:46:40.408000+00:00,109.0,0.0,789.0,0.0,604.0,2.0,185.0,0.0
2023-03-21 04:46:45.408000+00:00,109.0,0.0,789.0,0.0,604.0,0.0,185.0,0.0
2023-03-21 04:46:50.408000+00:00,111.0,1.0,799.0,1.0,612.0,2.0,188.0,0.0
2023-03-21 04:46:55.408000+00:00,113.0,0.0,809.0,3.0,620.0,2.0,189.0,0.0
2023-03-21 04:47:00.408000+00:00,114.0,0.0,813.0,0.0,623.0,0.0,190.0,0.0
2023-03-21 04:47:05.408000+00:00,114.0,0.0,813.0,0.0,623.0,0.0,190.0,0.0
2023-03-21 04:47:10.408000+00:00,114.0,0.0,813.0,0.0,623.0,0.0,191.0,0.0
2023-03-21 04:47:15.408000+00:00,116.0,0.0,823.0,2.0,631.0,7.0,192.0,1.0
2023-03-21 04:47:20.408000+00:00,117.0,1.0,832.0,4.0,638.0,1.0,196.0,0.0
2023-03-21 04:47:25.408000+00:00,119.0,0.0,846.0,2.0,649.0,1.0,198.0,0.0
2023-03-21 04:47:30.408000+00:00,122.0,1.0,870.0,5.0,668.0,3.0,202.0,2.0
2023-03-21 04:47:35.408000+00:00,124.0,0.0,875.0,2.0,672.0,0.0,204.0,0.0
2023-03-21 04:47:40.408000+00:00,125.0,0.0,883.0,1.0,678.0,0.0,205.0,0.0
2023-03-21 04:47:45.408000+00:00,125.0,0.0,884.0,0.0,679.0,0.0,206.0,0.0
2023-03-21 04:47:50.408000+00:00,127.0,0.0,901.0,2.0,692.0,1.0,209.0,0.0
2023-03-21 04:47:55.408000+00:00,128.0,0.0,908.0,1.0,697.0,2.0,211.0,0.0
2023-03-21 04:48:00.408000+00:00,131.0,1.0,915.0,2.0,703.0,0.0,212.0,0.0
2023-03-21 04:48:05.408000+00:00,133.0,0.0,924.0,0.0,710.0,1.0,214.0,0.0
2023-03-21 04:48:10.408000+00:00,133.0,0.0,928.0,1.0,713.0,0.0,216.0,0.0
2023-03-21 04:48:15.408000+00:00,136.0,0.0,945.0,3.0,726.0,2.0,219.0,0.0
2023-03-21 04:48:20.408000+00:00,138.0,0.0,954.0,2.0,733.0,2.0,221.0,0.0
2023-03-21 04:48:25.408000+00:00,138.0,0.0,954.0,0.0,733.0,0.0,221.0,0.0
2023-03-21 04:48:30.408000+00:00,138.0,0.0,954.0,0.0,733.0,0.0,221.0,0.0
2023-03-21 04:48:35.408000+00:00,140.0,0.0,964.0,1.0,741.0,2.0,224.0,0.0
2023-03-21 04:48:40.408000+00:00,142.0,0.0,972.0,0.0,747.0,0.0,225.0,0.0
2023-03-21 04:48:45.408000+00:00,144.0,0.0,981.0,0.0,754.0,2.0,227.0,0.0
2023-03-21 04:48:50.408000+00:00,144.0,0.0,985.0,1.0,757.0,0.0,228.0,1.0
2023-03-21 04:48:55.408000+00:00,144.0,0.0,992.0,0.0,762.0,1.0,230.0,0.0
2023-03-21 04:49:00.408000+00:00,147.0,1.0,1003.0,1.0,771.0,1.0,232.0,0.0
2023-03-21 04:49:05.408000+00:00,148.0,0.0,1007.0,1.0,774.0,0.0,233.0,0.0
2023-03-21 04:49:10.408000+00:00,149.0,0.0,1015.0,0.0,780.0,0.0,237.0,0.0
2023-03-21 04:49:15.410000+00:00,151.0,0.0,1028.0,1.0,790.0,3.0,238.0,0.0
2023-03-21 04:49:20.408000+00:00,151.0,0.0,1028.0,0.0,790.0,0.0,238.0,0.0
2023-03-21 04:49:25.408000+00:00,151.0,0.0,1036.0,0.0,796.0,0.0,240.0,0.0
2023-03-21 04:49:30.408000+00:00,153.0,0.0,1041.0,1.0,800.0,0.0,242.0,0.0
2023-03-21 04:49:35.408000+00:00,153.0,0.0,1049.0,2.0,806.0,0.0,244.0,1.0
2023-03-21 04:49:40.408000+00:00,156.0,0.0,1059.0,1.0,814.0,0.0,245.0,0.0
2023-03-21 04:49:45.408000+00:00,158.0,0.0,1068.0,3.0,821.0,0.0,247.0,0.0
2023-03-21 04:49:50.408000+00:00,158.0,0.0,1068.0,0.0,821.0,0.0,248.0,1.0
2023-03-21 04:49:55.408000+00:00,159.0,0.0,1080.0,1.0,830.0,0.0,251.0,0.0
2023-03-21 04:50:00.408000+00:00,162.0,1.0,1090.0,1.0,838.0,2.0,252.0,0.0
2023-03-21 04:50:05.408000+00:00,163.0,0.0,1095.0,0.0,842.0,1.0,253.0,2.0
2023-03-21 04:50:10.408000+00:00,164.0,0.0,1104.0,1.0,849.0,1.0,255.0,0.0
2023-03-21 04:50:15.408000+00:00,167.0,0.0,1114.0,1.0,857.0,1.0,258.0,0.0
