timestamp,rt_payment_delete_cart_count,rt_payment_delete_cart_sum
2023-03-21 04:41:04.727000+00:00,6.0,
2023-03-21 04:41:09.727000+00:00,6.0,0.0
2023-03-21 04:41:14.727000+00:00,6.0,0.0
2023-03-21 04:41:19.727000+00:00,7.0,9.0
2023-03-21 04:41:24.727000+00:00,9.0,17.0
2023-03-21 04:41:29.727000+00:00,10.0,9.0
2023-03-21 04:41:34.727000+00:00,11.0,9.0
2023-03-21 04:41:39.727000+00:00,13.0,20.0
2023-03-21 04:41:44.727000+00:00,13.0,0.0
2023-03-21 04:41:49.727000+00:00,14.0,14.0
2023-03-21 04:41:54.727000+00:00,18.0,43.0
2023-03-21 04:41:59.727000+00:00,21.0,27.0
2023-03-21 04:42:04.727000+00:00,24.0,28.0
2023-03-21 04:42:09.727000+00:00,25.0,11.0
2023-03-21 04:42:14.727000+00:00,30.0,48.0
2023-03-21 04:42:19.727000+00:00,32.0,22.0
2023-03-21 04:42:24.727000+00:00,34.0,19.0
2023-03-21 04:42:29.727000+00:00,35.0,9.0
2023-03-21 04:42:34.727000+00:00,35.0,0.0
2023-03-21 04:42:39.727000+00:00,35.0,0.0
2023-03-21 04:42:44.727000+00:00,36.0,9.0
2023-03-21 04:42:49.727000+00:00,36.0,0.0
2023-03-21 04:42:54.727000+00:00,36.0,0.0
2023-03-21 04:42:59.727000+00:00,37.0,11.0
2023-03-21 04:43:04.727000+00:00,38.0,9.0
2023-03-21 04:43:09.727000+00:00,39.0,9.0
2023-03-21 04:43:14.727000+00:00,39.0,0.0
2023-03-21 04:43:19.727000+00:00,41.0,18.0
2023-03-21 04:43:24.727000+00:00,43.0,19.0
2023-03-21 04:43:29.727000+00:00,43.0,0.0
2023-03-21 04:43:34.727000+00:00,45.0,21.0
2023-03-21 04:43:39.727000+00:00,47.0,20.0
2023-03-21 04:43:44.727000+00:00,48.0,10.0
2023-03-21 04:43:49.727000+00:00,48.0,0.0
2023-03-21 04:43:54.727000+00:00,55.0,65.0
2023-03-21 04:43:59.727000+00:00,55.0,0.0
2023-03-21 04:44:04.727000+00:00,56.0,9.0
2023-03-21 04:44:09.727000+00:00,59.0,30.0
2023-03-21 04:44:14.727000+00:00,62.0,34.0
2023-03-21 04:44:19.727000+00:00,63.0,9.0
2023-03-21 04:44:24.727000+00:00,64.0,8.0
2023-03-21 04:44:29.727000+00:00,66.0,18.0
2023-03-21 04:44:34.727000+00:00,68.0,17.0
2023-03-21 04:44:39.727000+00:00,69.0,9.0
2023-03-21 04:44:44.727000+00:00,71.0,21.0
2023-03-21 04:44:49.727000+00:00,71.0,0.0
2023-03-21 04:44:54.727000+00:00,72.0,9.0
2023-03-21 04:44:59.727000+00:00,73.0,9.0
2023-03-21 04:45:04.727000+00:00,74.0,8.0
2023-03-21 04:45:09.727000+00:00,74.0,0.0
2023-03-21 04:45:14.727000+00:00,75.0,10.0
2023-03-21 04:45:19.727000+00:00,79.0,36.0
2023-03-21 04:45:24.727000+00:00,83.0,36.0
2023-03-21 04:45:29.727000+00:00,85.0,20.0
2023-03-21 04:45:34.727000+00:00,86.0,8.0
2023-03-21 04:45:39.727000+00:00,87.0,10.0
2023-03-21 04:45:44.727000+00:00,87.0,0.0
2023-03-21 04:45:49.727000+00:00,88.0,11.0
2023-03-21 04:45:54.727000+00:00,93.0,44.0
2023-03-21 04:45:59.727000+00:00,93.0,0.0
2023-03-21 04:46:04.727000+00:00,95.0,17.0
2023-03-21 04:46:09.727000+00:00,98.0,27.0
2023-03-21 04:46:14.727000+00:00,101.0,29.0
2023-03-21 04:46:19.727000+00:00,103.0,16.0
2023-03-21 04:46:24.727000+00:00,105.0,22.0
2023-03-21 04:46:29.727000+00:00,106.0,8.0
2023-03-21 04:46:34.727000+00:00,108.0,17.0
2023-03-21 04:46:39.727000+00:00,109.0,9.0
2023-03-21 04:46:44.727000+00:00,109.0,0.0
2023-03-21 04:46:49.727000+00:00,111.0,18.0
2023-03-21 04:46:54.727000+00:00,113.0,18.0
2023-03-21 04:46:59.727000+00:00,114.0,11.0
2023-03-21 04:47:04.727000+00:00,114.0,0.0
2023-03-21 04:47:09.727000+00:00,114.0,0.0
2023-03-21 04:47:14.727000+00:00,116.0,17.0
2023-03-21 04:47:19.727000+00:00,117.0,9.0
2023-03-21 04:47:24.727000+00:00,119.0,18.0
2023-03-21 04:47:29.727000+00:00,121.0,20.0
2023-03-21 04:47:34.727000+00:00,124.0,24.0
2023-03-21 04:47:39.727000+00:00,125.0,9.0
2023-03-21 04:47:44.727000+00:00,125.0,0.0
2023-03-21 04:47:49.727000+00:00,127.0,17.0
2023-03-21 04:47:54.727000+00:00,128.0,7.0
2023-03-21 04:47:59.727000+00:00,131.0,24.0
2023-03-21 04:48:04.727000+00:00,132.0,9.0
2023-03-21 04:48:09.727000+00:00,133.0,8.0
2023-03-21 04:48:14.727000+00:00,136.0,25.0
2023-03-21 04:48:19.727000+00:00,138.0,15.0
2023-03-21 04:48:24.727000+00:00,138.0,0.0
2023-03-21 04:48:29.727000+00:00,138.0,0.0
2023-03-21 04:48:34.727000+00:00,140.0,16.0
2023-03-21 04:48:39.727000+00:00,142.0,18.0
2023-03-21 04:48:44.727000+00:00,144.0,19.0
2023-03-21 04:48:49.727000+00:00,144.0,0.0
2023-03-21 04:48:54.727000+00:00,144.0,0.0
2023-03-21 04:48:59.727000+00:00,147.0,29.0
2023-03-21 04:49:04.727000+00:00,148.0,8.0
2023-03-21 04:49:09.727000+00:00,149.0,10.0
2023-03-21 04:49:14.727000+00:00,151.0,18.0
2023-03-21 04:49:19.727000+00:00,151.0,0.0
2023-03-21 04:49:24.727000+00:00,151.0,0.0
2023-03-21 04:49:29.727000+00:00,152.0,10.0
2023-03-21 04:49:34.727000+00:00,153.0,10.0
2023-03-21 04:49:39.727000+00:00,156.0,23.0
2023-03-21 04:49:44.727000+00:00,158.0,17.0
2023-03-21 04:49:49.727000+00:00,158.0,0.0
2023-03-21 04:49:54.727000+00:00,159.0,9.0
2023-03-21 04:49:59.727000+00:00,162.0,26.0
2023-03-21 04:50:04.727000+00:00,162.0,0.0
2023-03-21 04:50:09.727000+00:00,164.0,18.0
2023-03-21 04:50:14.727000+00:00,167.0,27.0
2023-03-21 04:50:19.727000+00:00,168.0,13.0
2023-03-21 04:50:24.727000+00:00,168.0,0.0
2023-03-21 04:50:29.727000+00:00,169.0,9.0
2023-03-21 04:50:34.727000+00:00,169.0,0.0
2023-03-21 04:50:39.727000+00:00,172.0,32.0
2023-03-21 04:50:44.727000+00:00,174.0,18.0
2023-03-21 04:50:49.727000+00:00,177.0,33.0
2023-03-21 04:50:54.727000+00:00,178.0,11.0
2023-03-21 04:50:59.727000+00:00,180.0,19.0
2023-03-21 04:51:04.727000+00:00,181.0,8.0
2023-03-21 04:51:09.727000+00:00,181.0,0.0
2023-03-21 04:51:14.727000+00:00,181.0,0.0
2023-03-21 04:51:19.727000+00:00,182.0,9.0
2023-03-21 04:51:24.727000+00:00,182.0,0.0
2023-03-21 04:51:29.727000+00:00,184.0,16.0
2023-03-21 04:51:34.727000+00:00,185.0,8.0
2023-03-21 04:51:39.727000+00:00,188.0,27.0
2023-03-21 04:51:44.727000+00:00,188.0,0.0
2023-03-21 04:51:49.727000+00:00,189.0,9.0
2023-03-21 04:51:54.727000+00:00,193.0,35.0
2023-03-21 04:51:59.727000+00:00,195.0,23.0
2023-03-21 04:52:04.727000+00:00,196.0,12.0
2023-03-21 04:52:09.727000+00:00,197.0,10.0
2023-03-21 04:52:14.727000+00:00,198.0,10.0
2023-03-21 04:52:19.727000+00:00,201.0,27.0
2023-03-21 04:52:24.727000+00:00,202.0,8.0
2023-03-21 04:52:29.727000+00:00,203.0,9.0
2023-03-21 04:52:34.727000+00:00,203.0,0.0
2023-03-21 04:52:39.727000+00:00,203.0,0.0
2023-03-21 04:52:44.727000+00:00,204.0,8.0
2023-03-21 04:52:49.727000+00:00,204.0,0.0
2023-03-21 04:52:54.727000+00:00,207.0,24.0
2023-03-21 04:52:59.727000+00:00,211.0,33.0
2023-03-21 04:53:04.727000+00:00,211.0,0.0
2023-03-21 04:53:09.727000+00:00,212.0,10.0
2023-03-21 04:53:14.727000+00:00,213.0,9.0
2023-03-21 04:53:19.727000+00:00,214.0,13.0
2023-03-21 04:53:24.727000+00:00,214.0,0.0
2023-03-21 04:53:29.727000+00:00,216.0,17.0
2023-03-21 04:53:34.727000+00:00,217.0,9.0
2023-03-21 04:53:39.727000+00:00,217.0,0.0
2023-03-21 04:53:44.727000+00:00,217.0,0.0
2023-03-21 04:53:49.727000+00:00,217.0,0.0
2023-03-21 04:53:54.727000+00:00,218.0,10.0
2023-03-21 04:53:59.727000+00:00,220.0,16.0
2023-03-21 04:54:04.727000+00:00,221.0,10.0
2023-03-21 04:54:09.727000+00:00,222.0,9.0
2023-03-21 04:54:14.727000+00:00,226.0,39.0
2023-03-21 04:54:19.727000+00:00,226.0,0.0
2023-03-21 04:54:24.727000+00:00,227.0,8.0
2023-03-21 04:54:29.727000+00:00,228.0,10.0
2023-03-21 04:54:34.727000+00:00,228.0,0.0
2023-03-21 04:54:39.727000+00:00,230.0,19.0
2023-03-21 04:54:44.727000+00:00,231.0,10.0
2023-03-21 04:54:49.727000+00:00,232.0,8.0
2023-03-21 04:54:54.727000+00:00,233.0,9.0
2023-03-21 04:54:59.727000+00:00,235.0,18.0
2023-03-21 04:55:04.727000+00:00,237.0,20.0
2023-03-21 04:55:09.727000+00:00,239.0,19.0
2023-03-21 04:55:14.727000+00:00,240.0,8.0
2023-03-21 04:55:19.727000+00:00,242.0,15.0
2023-03-21 04:55:24.727000+00:00,244.0,16.0
2023-03-21 04:55:29.727000+00:00,245.0,9.0
2023-03-21 04:55:34.727000+00:00,246.0,8.0
2023-03-21 04:55:39.727000+00:00,247.0,8.0
2023-03-21 04:55:44.727000+00:00,247.0,0.0
2023-03-21 04:55:49.727000+00:00,248.0,9.0
2023-03-21 04:55:54.727000+00:00,250.0,18.0
2023-03-21 04:55:59.727000+00:00,251.0,11.0
2023-03-21 04:56:04.727000+00:00,252.0,10.0
2023-03-21 04:56:09.727000+00:00,252.0,0.0
2023-03-21 04:56:14.727000+00:00,254.0,18.0
2023-03-21 04:56:19.727000+00:00,255.0,7.0
2023-03-21 04:56:24.727000+00:00,256.0,8.0
2023-03-21 04:56:29.727000+00:00,256.0,0.0
2023-03-21 04:56:34.727000+00:00,256.0,0.0
2023-03-21 04:56:39.727000+00:00,256.0,0.0
2023-03-21 04:56:44.727000+00:00,256.0,0.0
2023-03-21 04:56:49.727000+00:00,258.0,18.0
2023-03-21 04:56:54.727000+00:00,262.0,36.0
2023-03-21 04:56:59.727000+00:00,265.0,26.0
2023-03-21 04:57:04.727000+00:00,265.0,0.0
2023-03-21 04:57:09.727000+00:00,265.0,0.0
2023-03-21 04:57:14.727000+00:00,266.0,10.0
2023-03-21 04:57:19.727000+00:00,267.0,9.0
2023-03-21 04:57:24.727000+00:00,268.0,9.0
2023-03-21 04:57:29.727000+00:00,269.0,9.0
2023-03-21 04:57:34.727000+00:00,270.0,8.0
2023-03-21 04:57:39.727000+00:00,273.0,35.0
2023-03-21 04:57:44.727000+00:00,273.0,0.0
2023-03-21 04:57:49.727000+00:00,274.0,9.0
2023-03-21 04:57:54.727000+00:00,274.0,0.0
2023-03-21 04:57:59.727000+00:00,276.0,20.0
2023-03-21 04:58:04.727000+00:00,276.0,0.0
2023-03-21 04:58:09.727000+00:00,277.0,7.0
2023-03-21 04:58:14.727000+00:00,279.0,19.0
2023-03-21 04:58:19.727000+00:00,280.0,12.0
2023-03-21 04:58:24.727000+00:00,280.0,0.0
2023-03-21 04:58:29.727000+00:00,281.0,9.0
2023-03-21 04:58:34.727000+00:00,284.0,25.0
2023-03-21 04:58:39.727000+00:00,284.0,0.0
2023-03-21 04:58:44.727000+00:00,285.0,10.0
2023-03-21 04:58:49.727000+00:00,289.0,33.0
2023-03-21 04:58:54.727000+00:00,290.0,8.0
2023-03-21 04:58:59.727000+00:00,290.0,0.0
2023-03-21 04:59:04.727000+00:00,295.0,42.0
2023-03-21 04:59:09.727000+00:00,298.0,26.0
2023-03-21 04:59:14.727000+00:00,301.0,25.0
2023-03-21 04:59:19.727000+00:00,303.0,17.0
2023-03-21 04:59:24.727000+00:00,303.0,0.0
2023-03-21 04:59:29.727000+00:00,305.0,21.0
2023-03-21 04:59:34.727000+00:00,309.0,33.0
2023-03-21 04:59:39.727000+00:00,310.0,11.0
2023-03-21 04:59:44.727000+00:00,311.0,10.0
2023-03-21 04:59:49.727000+00:00,313.0,19.0
2023-03-21 04:59:54.727000+00:00,314.0,9.0
