timestamp,rt_catalogue_get_mongo_categories_count,rt_catalogue_get_mongo_categories_sum,rt_catalogue_get_mongo_products_count,rt_catalogue_get_mongo_products_sum,rt_catalogue_get_mongo_productscat_count,rt_catalogue_get_mongo_productscat_sum,rt_catalogue_get_mongo_productsku_count,rt_catalogue_get_mongo_productsku_sum,rt_catalogue_get_mongo_search_count,rt_catalogue_get_mongo_search_sum,rt_user_get_mongo_checkid_count,rt_user_get_mongo_checkid_sum,rt_user_get_mongo_history_count,rt_user_get_mongo_history_sum,rt_user_get_mongo_users_count,rt_user_get_mongo_users_sum,rt_user_post_mongo_login_count,rt_user_post_mongo_login_sum,rt_user_post_mongo_order_count,rt_user_post_mongo_order_sum,rt_user_post_mongo_register_count,rt_user_post_mongo_register_sum
2023-03-21 04:41:02.678000+00:00,56.0,,56.0,,0.0,,222.0,,0.0,,4.0,,50.0,,0.0,,62.0,,4.0,,63.0,
2023-03-21 04:41:07.678000+00:00,57.0,1.0,57.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,6.0,2.0,50.0,0.0,0.0,0.0,63.0,2.0,6.0,1.0,65.0,2.0
2023-03-21 04:41:12.678000+00:00,58.0,1.0,58.0,1.0,0.0,0.0,235.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0,65.0,2.0,6.0,0.0,68.0,9.0
2023-03-21 04:41:17.678000+00:00,59.0,1.0,59.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,6.0,0.0,51.0,1.0,0.0,0.0,66.0,1.0,6.0,0.0,73.0,4.0
2023-03-21 04:41:22.678000+00:00,61.0,2.0,61.0,1.0,0.0,0.0,250.0,0.0,0.0,0.0,8.0,0.0,51.0,0.0,0.0,0.0,70.0,3.0,7.0,1.0,75.0,1.0
2023-03-21 04:41:27.678000+00:00,62.0,0.0,62.0,1.0,0.0,0.0,254.0,0.0,0.0,0.0,10.0,2.0,51.0,0.0,0.0,0.0,72.0,2.0,8.0,0.0,76.0,1.0
2023-03-21 04:41:32.678000+00:00,63.0,0.0,63.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,10.0,0.0,53.0,1.0,0.0,0.0,77.0,3.0,8.0,0.0,76.0,0.0
2023-03-21 04:41:37.678000+00:00,65.0,0.0,65.0,1.0,0.0,0.0,266.0,1.0,0.0,0.0,12.0,2.0,56.0,3.0,0.0,0.0,80.0,3.0,10.0,2.0,78.0,2.0
2023-03-21 04:41:42.678000+00:00,66.0,0.0,66.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,13.0,0.0,58.0,2.0,0.0,0.0,83.0,3.0,11.0,1.0,78.0,0.0
2023-03-21 04:41:47.678000+00:00,66.0,0.0,66.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,13.0,0.0,59.0,1.0,0.0,0.0,83.0,0.0,11.0,0.0,78.0,0.0
