Unnamed: 0,timestamp,rt_web_get_shipping_calcid_seconds_count,rt_web_get_shipping_calcid_seconds_sum,rt_web_get_shipping_code_seconds_count,rt_web_get_shipping_code_seconds_sum,rt_web_get_shipping_postconfirm_seconds_count,rt_web_get_shipping_postconfirm_seconds_sum
0,2023-03-13 16:48:09.729000+00:00,15.0,,15.0,,15.0,
1,2023-03-13 16:48:14.729000+00:00,16.0,0.009999999999999981,16.0,0.009000000000000008,15.0,0.0
2,2023-03-13 16:48:19.729000+00:00,17.0,0.008000000000000007,17.0,0.010000000000000009,16.0,0.018000000000000016
3,2023-03-13 16:48:24.729000+00:00,18.0,0.006000000000000005,18.0,0.008000000000000007,17.0,0.016000000000000014
4,2023-03-13 16:48:29.729000+00:00,19.0,0.01100000000000001,19.0,0.008000000000000007,18.0,0.010999999999999899
5,2023-03-13 16:48:34.729000+00:00,19.0,0.0,19.0,0.0,18.0,0.0
6,2023-03-13 16:48:39.729000+00:00,22.0,0.015999999999999986,23.0,0.032999999999999974,20.0,0.02100000000000013
7,2023-03-13 16:48:44.729000+00:00,24.0,0.018000000000000016,24.0,0.006000000000000005,21.0,0.0129999999999999
8,2023-03-13 16:48:49.729000+00:00,25.0,0.005999999999999978,25.0,0.008000000000000007,22.0,0.010000000000000009
9,2023-03-13 16:48:54.729000+00:00,26.0,0.008000000000000007,26.0,0.008000000000000007,23.0,0.009000000000000119
10,2023-03-13 16:48:59.729000+00:00,26.0,0.0,26.0,0.0,23.0,0.0
11,2023-03-13 16:49:04.729000+00:00,27.0,0.007000000000000006,27.0,0.007000000000000006,23.0,0.0
12,2023-03-13 16:49:09.729000+00:00,27.0,0.0,27.0,0.0,23.0,0.0
13,2023-03-13 16:49:14.729000+00:00,27.0,0.0,27.0,0.0,23.0,0.0
14,2023-03-13 16:49:19.729000+00:00,27.0,0.0,28.0,0.013999999999999957,23.0,0.0
15,2023-03-13 16:49:24.729000+00:00,28.0,0.007000000000000006,28.0,0.0,24.0,0.016000000000000014
16,2023-03-13 16:49:29.729000+00:00,28.0,0.0,28.0,0.0,24.0,0.0
17,2023-03-13 16:49:34.729000+00:00,29.0,0.00799999999999998,29.0,0.008000000000000007,25.0,0.0129999999999999
18,2023-03-13 16:49:39.729000+00:00,29.0,0.0,29.0,0.0,25.0,0.0
19,2023-03-13 16:49:44.729000+00:00,29.0,0.0,29.0,0.0,25.0,0.0
20,2023-03-13 16:49:49.729000+00:00,29.0,0.0,29.0,0.0,25.0,0.0
21,2023-03-13 16:49:54.729000+00:00,29.0,0.0,29.0,0.0,25.0,0.0
22,2023-03-13 16:49:59.729000+00:00,30.0,0.008000000000000007,30.0,0.008000000000000007,26.0,0.010000000000000009
23,2023-03-13 16:50:04.729000+00:00,31.0,0.007000000000000006,31.0,0.007000000000000006,27.0,0.014999999999999902
24,2023-03-13 16:50:09.729000+00:00,31.0,0.0,31.0,0.0,27.0,0.0
25,2023-03-13 16:50:14.729000+00:00,32.0,0.007000000000000006,32.0,0.007000000000000006,28.0,0.008000000000000007
26,2023-03-13 16:50:19.729000+00:00,33.0,0.007000000000000006,34.0,0.014000000000000012,29.0,0.010000000000000009
27,2023-03-13 16:50:24.729000+00:00,36.0,0.022999999999999965,36.0,0.01799999999999996,32.0,0.03500000000000014
28,2023-03-13 16:50:29.729000+00:00,36.0,0.0,36.0,0.0,32.0,0.0
29,2023-03-13 16:50:34.729000+00:00,36.0,0.0,36.0,0.0,32.0,0.0
30,2023-03-13 16:50:39.729000+00:00,39.0,0.016000000000000014,39.0,0.019000000000000017,33.0,0.014999999999999902
31,2023-03-13 16:50:44.729000+00:00,39.0,0.0,39.0,0.0,33.0,0.0
32,2023-03-13 16:50:49.729000+00:00,41.0,0.014000000000000012,41.0,0.014000000000000012,35.0,0.018000000000000016
33,2023-03-13 16:50:54.729000+00:00,43.0,0.016000000000000014,43.0,0.018000000000000016,37.0,0.02299999999999991
34,2023-03-13 16:50:59.729000+00:00,43.0,0.0,43.0,0.0,37.0,0.0
35,2023-03-13 16:51:04.729000+00:00,43.0,0.0,43.0,0.0,37.0,0.0
36,2023-03-13 16:51:09.729000+00:00,44.0,0.006000000000000005,44.0,0.008000000000000007,38.0,0.009000000000000119
37,2023-03-13 16:51:14.729000+00:00,45.0,0.00599999999999995,45.0,0.007000000000000006,39.0,0.008000000000000007
38,2023-03-13 16:51:19.729000+00:00,45.0,0.0,45.0,0.0,39.0,0.0
39,2023-03-13 16:51:24.729000+00:00,45.0,0.0,45.0,0.0,39.0,0.0
40,2023-03-13 16:51:29.729000+00:00,45.0,0.0,45.0,0.0,39.0,0.0
41,2023-03-13 16:51:34.729000+00:00,46.0,0.007000000000000006,46.0,0.006000000000000005,40.0,0.01200000000000001
42,2023-03-13 16:51:39.729000+00:00,46.0,0.0,46.0,0.0,40.0,0.0
43,2023-03-13 16:51:44.729000+00:00,46.0,0.0,46.0,0.0,40.0,0.0
44,2023-03-13 16:51:49.729000+00:00,46.0,0.0,46.0,0.0,40.0,0.0
45,2023-03-13 16:51:54.729000+00:00,46.0,0.0,47.0,0.006000000000000005,40.0,0.0
46,2023-03-13 16:51:59.729000+00:00,48.0,0.01200000000000001,48.0,0.007000000000000006,42.0,0.020000000000000018
47,2023-03-13 16:52:04.729000+00:00,49.0,0.007000000000000006,49.0,0.006999999999999895,43.0,0.0129999999999999
