Unnamed: 0,timestamp,rt_cart_delete_redis_count,rt_cart_delete_redis_sum,rt_cart_get_redis_count,rt_cart_get_redis_sum,rt_cart_post_redis_count,rt_cart_post_redis_sum,rt_user_get_redis_count,rt_user_get_redis_sum
0,2023-03-13 16:48:10.408000+00:00,15.0,,142.0,,108.0,,35.0,
1,2023-03-13 16:48:15.408000+00:00,15.0,0.0,146.0,1.0,111.0,0.0,36.0,1.0
2,2023-03-13 16:48:20.408000+00:00,16.0,0.0,151.0,0.0,115.0,0.0,37.0,0.0
3,2023-03-13 16:48:25.408000+00:00,17.0,0.0,155.0,0.0,118.0,0.0,38.0,1.0
4,2023-03-13 16:48:30.412000+00:00,18.0,0.0,160.0,1.0,122.0,0.0,39.0,0.0
5,2023-03-13 16:48:35.408000+00:00,18.0,0.0,160.0,0.0,122.0,0.0,39.0,0.0
6,2023-03-13 16:48:40.408000+00:00,20.0,0.0,177.0,7.0,135.0,3.0,43.0,1.0
7,2023-03-13 16:48:45.408000+00:00,21.0,0.0,182.0,0.0,139.0,0.0,44.0,0.0
8,2023-03-13 16:48:50.408000+00:00,22.0,0.0,186.0,0.0,142.0,1.0,45.0,1.0
9,2023-03-13 16:48:55.408000+00:00,23.0,0.0,191.0,0.0,146.0,1.0,46.0,1.0
10,2023-03-13 16:49:00.408000+00:00,23.0,0.0,191.0,0.0,146.0,0.0,47.0,0.0
11,2023-03-13 16:49:05.408000+00:00,23.0,0.0,195.0,1.0,149.0,1.0,47.0,0.0
12,2023-03-13 16:49:10.408000+00:00,23.0,0.0,195.0,0.0,149.0,0.0,47.0,0.0
13,2023-03-13 16:49:15.408000+00:00,23.0,0.0,198.0,1.0,151.0,0.0,48.0,0.0
14,2023-03-13 16:49:20.408000+00:00,23.0,0.0,198.0,0.0,151.0,0.0,48.0,0.0
15,2023-03-13 16:49:25.408000+00:00,24.0,0.0,199.0,0.0,152.0,0.0,48.0,0.0
16,2023-03-13 16:49:30.408000+00:00,24.0,0.0,202.0,0.0,154.0,0.0,49.0,0.0
17,2023-03-13 16:49:35.408000+00:00,25.0,0.0,203.0,1.0,155.0,0.0,49.0,0.0
18,2023-03-13 16:49:40.408000+00:00,25.0,0.0,203.0,0.0,155.0,0.0,49.0,0.0
19,2023-03-13 16:49:45.408000+00:00,25.0,0.0,203.0,0.0,155.0,0.0,49.0,0.0
20,2023-03-13 16:49:50.408000+00:00,25.0,0.0,203.0,0.0,155.0,0.0,49.0,0.0
21,2023-03-13 16:49:55.408000+00:00,25.0,0.0,203.0,0.0,155.0,0.0,49.0,0.0
22,2023-03-13 16:50:00.408000+00:00,26.0,0.0,207.0,1.0,158.0,0.0,50.0,0.0
23,2023-03-13 16:50:05.408000+00:00,27.0,0.0,212.0,0.0,162.0,1.0,51.0,0.0
24,2023-03-13 16:50:10.408000+00:00,27.0,0.0,216.0,1.0,165.0,0.0,52.0,1.0
25,2023-03-13 16:50:15.408000+00:00,28.0,0.0,220.0,0.0,168.0,1.0,53.0,0.0
26,2023-03-13 16:50:20.408000+00:00,29.0,0.0,225.0,1.0,172.0,1.0,55.0,1.0
27,2023-03-13 16:50:25.408000+00:00,32.0,0.0,236.0,6.0,181.0,1.0,56.0,0.0
28,2023-03-13 16:50:30.408000+00:00,32.0,0.0,236.0,0.0,181.0,0.0,56.0,0.0
29,2023-03-13 16:50:35.408000+00:00,32.0,0.0,242.0,3.0,185.0,1.0,59.0,0.0
30,2023-03-13 16:50:40.408000+00:00,33.0,0.0,246.0,2.0,188.0,1.0,59.0,0.0
31,2023-03-13 16:50:45.408000+00:00,33.0,0.0,246.0,0.0,188.0,0.0,60.0,0.0
32,2023-03-13 16:50:50.408000+00:00,35.0,0.0,260.0,1.0,199.0,3.0,62.0,2.0
33,2023-03-13 16:50:55.408000+00:00,37.0,0.0,265.0,2.0,203.0,1.0,63.0,0.0
34,2023-03-13 16:51:00.408000+00:00,37.0,0.0,265.0,0.0,203.0,0.0,63.0,0.0
35,2023-03-13 16:51:05.408000+00:00,37.0,0.0,265.0,0.0,203.0,0.0,63.0,0.0
36,2023-03-13 16:51:10.408000+00:00,38.0,0.0,269.0,1.0,206.0,0.0,64.0,1.0
37,2023-03-13 16:51:15.408000+00:00,39.0,0.0,273.0,2.0,209.0,1.0,65.0,0.0
38,2023-03-13 16:51:20.408000+00:00,39.0,0.0,273.0,0.0,209.0,0.0,65.0,0.0
39,2023-03-13 16:51:25.408000+00:00,39.0,0.0,273.0,0.0,209.0,0.0,65.0,0.0
40,2023-03-13 16:51:30.408000+00:00,39.0,0.0,273.0,0.0,209.0,0.0,65.0,0.0
41,2023-03-13 16:51:35.408000+00:00,40.0,1.0,277.0,1.0,212.0,0.0,66.0,0.0
42,2023-03-13 16:51:40.408000+00:00,40.0,0.0,277.0,0.0,212.0,0.0,66.0,0.0
43,2023-03-13 16:51:45.408000+00:00,40.0,0.0,277.0,0.0,212.0,0.0,66.0,0.0
44,2023-03-13 16:51:50.408000+00:00,40.0,0.0,277.0,0.0,212.0,0.0,66.0,0.0
45,2023-03-13 16:51:55.408000+00:00,41.0,1.0,286.0,0.0,219.0,1.0,68.0,0.0
46,2023-03-13 16:52:00.408000+00:00,42.0,1.0,287.0,0.0,220.0,1.0,69.0,0.0
47,2023-03-13 16:52:05.408000+00:00,43.0,0.0,291.0,0.0,223.0,0.0,69.0,0.0
48,2023-03-13 16:52:10.408000+00:00,44.0,0.0,296.0,3.0,227.0,0.0,71.0,1.0
49,2023-03-13 16:52:15.408000+00:00,45.0,1.0,305.0,3.0,234.0,2.0,72.0,0.0
50,2023-03-13 16:52:20.408000+00:00,45.0,0.0,309.0,1.0,237.0,1.0,73.0,0.0
51,2023-03-13 16:52:25.408000+00:00,46.0,1.0,313.0,0.0,240.0,1.0,74.0,1.0
52,2023-03-13 16:52:30.408000+00:00,46.0,0.0,313.0,0.0,240.0,0.0,74.0,0.0
