timestamp,rt_ratings_put_PDO_count,rt_ratings_put_PDO_sum
2023-03-20 09:33:30.514000+00:00,0.0,
2023-03-20 09:33:35.514000+00:00,0.0,0.0
2023-03-20 09:33:40.514000+00:00,0.0,0.0
2023-03-20 09:33:45.514000+00:00,0.0,0.0
2023-03-20 09:33:50.514000+00:00,0.0,0.0
2023-03-20 09:33:55.514000+00:00,0.0,0.0
2023-03-20 09:34:00.514000+00:00,0.0,0.0
2023-03-20 09:34:05.514000+00:00,0.0,0.0
2023-03-20 09:34:10.514000+00:00,0.0,0.0
2023-03-20 09:34:15.514000+00:00,0.0,0.0
2023-03-20 09:34:20.514000+00:00,0.0,0.0
2023-03-20 09:34:25.514000+00:00,0.0,0.0
2023-03-20 09:34:30.514000+00:00,0.0,0.0
2023-03-20 09:34:35.514000+00:00,0.0,0.0
2023-03-20 09:34:40.514000+00:00,0.0,0.0
2023-03-20 09:34:45.514000+00:00,0.0,0.0
2023-03-20 09:34:50.514000+00:00,0.0,0.0
2023-03-20 09:34:55.514000+00:00,1.0,0.049931
2023-03-20 09:35:00.514000+00:00,1.0,0.0
2023-03-20 09:35:05.514000+00:00,3.0,0.08023
2023-03-20 09:35:10.514000+00:00,3.0,0.0
2023-03-20 09:35:15.514000+00:00,5.0,0.087037
2023-03-20 09:35:20.514000+00:00,7.0,0.10285
2023-03-20 09:35:25.514000+00:00,7.0,0.0
2023-03-20 09:35:30.514000+00:00,8.0,0.037443000000000004
2023-03-20 09:35:35.514000+00:00,8.0,0.0
2023-03-20 09:35:40.514000+00:00,10.0,0.1558569999999999
2023-03-20 09:35:45.514000+00:00,10.0,0.0
2023-03-20 09:35:50.514000+00:00,11.0,0.03163199999999999
2023-03-20 09:35:55.514000+00:00,11.0,0.0
2023-03-20 09:36:00.514000+00:00,12.0,0.05004900000000001
2023-03-20 09:36:05.514000+00:00,15.0,0.0
2023-03-20 09:36:10.514000+00:00,15.0,0.0
2023-03-20 09:36:15.514000+00:00,15.0,0.0
2023-03-20 09:36:20.514000+00:00,15.0,0.0
2023-03-20 09:36:25.514000+00:00,16.0,0.06185599999999997
2023-03-20 09:36:30.514000+00:00,16.0,0.0
2023-03-20 09:36:35.514000+00:00,18.0,0.08005200000000001
2023-03-20 09:36:40.514000+00:00,20.0,0.1540589999999999
2023-03-20 09:36:45.514000+00:00,20.0,0.0
2023-03-20 09:36:50.514000+00:00,22.0,0.072612
2023-03-20 09:36:55.514000+00:00,23.0,0.03780699999999999
2023-03-20 09:37:00.514000+00:00,24.0,0.03813100000000001
2023-03-20 09:37:05.514000+00:00,24.0,0.0
2023-03-20 09:37:10.514000+00:00,27.0,0.10354200000000008
2023-03-20 09:37:15.514000+00:00,27.0,0.0
2023-03-20 09:37:20.514000+00:00,27.0,0.0
2023-03-20 09:37:25.514000+00:00,28.0,0.04232400000000003
2023-03-20 09:37:30.514000+00:00,29.0,0.163478
2023-03-20 09:37:35.514000+00:00,29.0,0.0
2023-03-20 09:37:40.514000+00:00,29.0,0.0
2023-03-20 09:37:45.514000+00:00,30.0,0.03804700000000005
2023-03-20 09:37:50.514000+00:00,31.0,0.0
2023-03-20 09:37:55.514000+00:00,33.0,0.08301599999999998
2023-03-20 09:38:00.514000+00:00,33.0,0.0
2023-03-20 09:38:05.514000+00:00,35.0,0.08776300000000012
2023-03-20 09:38:10.514000+00:00,35.0,0.0
2023-03-20 09:38:15.514000+00:00,35.0,0.0
2023-03-20 09:38:20.514000+00:00,35.0,0.0
2023-03-20 09:38:25.514000+00:00,36.0,0.042848
